Model,Fold,ROC_AUC
LogisticRegression,1,0.8181818181818181
SVM_RBF,1,0.7933884297520661
SVM_Linear,1,0.8347107438016529
RandomForest,1,0.6694214876033058
GradientBoosting,1,0.8057851239669421
ExtraTrees,1,0.7933884297520661
KNN,1,0.8512396694214875
NaiveBayes,1,0.768595041322314
XGBoost,1,0.7024793388429752
LightGBM,1,0.6363636363636364
LogisticRegression,2,0.8583333333333333
SVM_RBF,2,0.8333333333333333
SVM_Linear,2,0.85
RandomForest,2,0.5333333333333333
GradientBoosting,2,0.4833333333333333
ExtraTrees,2,0.6583333333333333
KNN,2,0.6541666666666667
NaiveBayes,2,0.8583333333333333
XGBoost,2,0.525
LightGBM,2,0.4375
LogisticRegression,3,0.6481481481481481
SVM_RBF,3,0.6666666666666667
SVM_Linear,3,0.6666666666666666
RandomForest,3,0.6481481481481481
GradientBoosting,3,0.7407407407407407
ExtraTrees,3,0.6388888888888888
KNN,3,0.6064814814814814
NaiveBayes,3,0.6851851851851851
XGBoost,3,0.6388888888888888
LightGBM,3,0.6759259259259259
LogisticRegression,4,0.6766917293233082
SVM_RBF,4,0.6240601503759399
SVM_Linear,4,0.6691729323308271
RandomForest,4,0.7218045112781954
GradientBoosting,4,0.7218045112781956
ExtraTrees,4,0.706766917293233
KNN,4,0.5526315789473685
NaiveBayes,4,0.6466165413533834
XGBoost,4,0.6541353383458647
LightGBM,4,0.6992481203007519
LogisticRegression,5,0.7916666666666667
SVM_RBF,5,0.725
SVM_Linear,5,0.8
RandomForest,5,0.6916666666666667
GradientBoosting,5,0.5541666666666666
ExtraTrees,5,0.6041666666666666
KNN,5,0.7916666666666666
NaiveBayes,5,0.65
XGBoost,5,0.6333333333333333
LightGBM,5,0.5916666666666667
