Model,Fold,ROC_AUC
LogisticRegression,1,0.7933884297520661
SVM_RBF,1,0.6942148760330579
SVM_Linear,1,0.7768595041322315
RandomForest,1,0.7272727272727273
GradientBoosting,1,0.6983471074380165
ExtraTrees,1,0.6942148760330579
KNN,1,0.6859504132231404
NaiveBayes,1,0.7190082644628099
XGBoost,1,0.7520661157024794
LightGBM,1,0.743801652892562
LogisticRegression,2,0.7916666666666667
SVM_RBF,2,0.3
SVM_Linear,2,0.8166666666666667
RandomForest,2,0.5166666666666666
GradientBoosting,2,0.6666666666666666
ExtraTrees,2,0.7
KNN,2,0.7041666666666666
NaiveBayes,2,0.85
XGBoost,2,0.6583333333333334
LightGBM,2,0.5625
LogisticRegression,3,0.6944444444444445
SVM_RBF,3,0.6481481481481481
SVM_Linear,3,0.6666666666666666
RandomForest,3,0.6574074074074072
GradientBoosting,3,0.7314814814814815
ExtraTrees,3,0.6944444444444443
KNN,3,0.5416666666666666
NaiveBayes,3,0.7222222222222222
XGBoost,3,0.712962962962963
LightGBM,3,0.787037037037037
LogisticRegression,4,0.7819548872180452
SVM_RBF,4,0.6691729323308271
SVM_Linear,4,0.7142857142857143
RandomForest,4,0.7368421052631579
GradientBoosting,4,0.7067669172932332
ExtraTrees,4,0.7819548872180451
KNN,4,0.8345864661654135
NaiveBayes,4,0.6390977443609023
XGBoost,4,0.7894736842105263
LightGBM,4,0.8045112781954888
LogisticRegression,5,0.7916666666666667
SVM_RBF,5,0.7666666666666666
SVM_Linear,5,0.7
RandomForest,5,0.7083333333333334
GradientBoosting,5,0.7083333333333333
ExtraTrees,5,0.7833333333333333
KNN,5,0.7875
NaiveBayes,5,0.4833333333333333
XGBoost,5,0.7916666666666666
LightGBM,5,0.7333333333333334
