Feature,Selection_Count,Selection_Frequency,Family
IB_IntensitySkewness,5,1.0,Intensity
Morph_SphericalDisproportion,4,0.8,Morphology
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,3,0.6,Morphology
Morph_Compacity,3,0.6,Morphology
GLSZM_GreyLevelVariance,3,0.6,GLSZM
GLRLM_LongRunLowGreyLevelEmphasis,2,0.4,GLRLM
IH_MaximumHistogramGradient_Intensity,2,0.4,Histogram
GLRLM_ShortRunLowGreyLevelEmphasis,2,0.4,GLRLM
IH_IntensityHistogramSkewness_Intensity,2,0.4,Histogram
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,2,0.4,Morphology
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1,0.2,Morphology
IB_10thIntensityPercentile,1,0.2,Intensity
GLCM_InverseDifferenceMoment,1,0.2,GLCM
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,Morphology
NGTDM_Strength,1,0.2,NGTDM
GLSZM_SmallZoneHighGreyLevelEmphasis,1,0.2,GLSZM
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,Morphology
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1,0.2,Morphology
IB_IntensityBasedEnergy,1,0.2,Intensity
Morph_Compactness1,1,0.2,Morphology
GLSZM_ZoneSizeVariance,1,0.2,GLSZM
GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,GLSZM
IH_IntensityHistogramMinimumGreyLevel_Intensity,1,0.2,Histogram
Morph_Asphericity,1,0.2,Morphology
GLCM_JointVariance,1,0.2,GLCM
Morph_SurfaceArea_cm2,1,0.2,Morphology
Morph_Sphericity,1,0.2,Morphology
GLCM_ClusterProminence,1,0.2,GLCM
IH_MinimumHistogramGradient_Intensity,1,0.2,Histogram
GLSZM_NormalisedZoneSizeNonUniformity,1,0.2,GLSZM
IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
GLSZM_LargeZoneHighGreyLevelEmphasis,1,0.2,GLSZM
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,Morphology
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,Morphology
