Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features
ADC_M1,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,SVM_Linear,0.764,0.08,0.691,0.799,0.72,0.693,0.682,0.671,0.684,8.8,29
ADC_M1,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,LogisticRegression,0.762,0.072,0.715,0.816,0.758,0.714,0.698,0.686,0.706,8.8,29
ADC_M1,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,LightGBM,0.76,0.06,0.726,0.817,0.766,0.685,0.664,0.701,0.698,13.2,27
ADC_M1,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,LogisticRegression,0.748,0.026,0.703,0.802,0.764,0.689,0.672,0.669,0.678,12.0,36
ADC_M1,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,LogisticRegression,0.732,0.032,0.696,0.796,0.758,0.689,0.668,0.681,0.689,12.0,36
ADC_M1,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,KNN,0.728,0.041,0.668,0.745,0.699,0.681,0.666,0.688,0.694,13.2,27
