Feature,Selection_Count,Selection_Frequency,Family
IH_IntensityHistogramMedian_Intensity,5,1.0,Histogram
GLCM_InverseDifferenceMoment,5,1.0,GLCM
GLCM_AngularSecondMoment,5,1.0,GLCM
Morph_Compactness1,5,1.0,Morphology
GLCM_Correlation,5,1.0,GLCM
Morph_SphericalDisproportion,4,0.8,Morphology
IB_MedianIntensity,4,0.8,Intensity
Morph_Compacity,4,0.8,Morphology
GLCM_NormalisedInverseDifferenceMoment,3,0.6,GLCM
FEATURE_RESULTS,3,0.6,Other
GLCM_JointVariance,3,0.6,GLCM
GLSZM_SmallZoneEmphasis,3,0.6,GLSZM
GLCM_InverseVariance,3,0.6,GLCM
GLCM_Autocorrelation,3,0.6,GLCM
GLCM_JointMaximum,2,0.4,GLCM
GLCM_SumAverage,2,0.4,GLCM
GLCM_InverseDifference,2,0.4,GLCM
GLCM_JointEntropyLog2,2,0.4,GLCM
GLCM_DifferenceAverage,1,0.2,GLCM
IH_AreaUnderCurveCIVH_Intensity,1,0.2,Intensity
GLCM_ClusterTendency,1,0.2,GLCM
GLCM_Dissimilarity,1,0.2,GLCM
GLCM_NormalisedInverseDifference,1,0.2,GLCM
GLCM_SumEntropy,1,0.2,GLCM
GLCM_JointEntropyLog10,1,0.2,GLCM
LOCAL_INTENSITY_HISTOGRAM_LocalIntensityPeak_Intensity,1,0.2,Histogram
GLCM_DifferenceVariance,1,0.2,GLCM
