Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.6447,+0.1093,1.90e-03,8.56e-02,✓,✗
NaiveBayes,0.6590,+0.0950,6.26e-02,1.00e+00,✗,✗
XGBoost,0.7004,+0.0536,2.77e-03,1.25e-01,✓,✗
ExtraTrees,0.7026,+0.0514,1.23e-02,5.53e-01,✓,✗
GradientBoosting,0.7066,+0.0474,2.91e-02,1.00e+00,✓,✗
KNN,0.7187,+0.0353,4.22e-02,1.00e+00,✓,✗
RandomForest,0.7237,+0.0303,4.48e-02,1.00e+00,✓,✗
SVM_RBF,0.7404,+0.0136,9.75e-01,1.00e+00,✗,✗
SVM_Linear,0.7477,+0.0062,6.78e-01,1.00e+00,✗,✗
