,LogisticRegression,SVM_Linear,SVM_RBF,RandomForest,KNN,GradientBoosting,ExtraTrees,XGBoost,NaiveBayes,LightGBM
LogisticRegression,0.0,0.41494626971400145,0.030879116430321648,2.006881446152401,2.0317454127240984,2.182532105910121,2.50404424841022,2.992254086468761,1.861982415386156,3.105227422770204
SVM_Linear,-0.41494626971400145,0.0,-0.5112251279417659,1.880956281871159,1.8764431025347932,2.0275113055593623,2.560900388407116,2.857669808361491,1.816682867466277,3.0350994552733144
SVM_RBF,-0.030879116430321648,0.5112251279417659,0.0,2.0729896001430403,2.0938759733687466,2.2197489468780507,2.841095651767265,3.0706411403447076,1.9174750995357335,3.1048547313203305
RandomForest,-2.006881446152401,-1.880956281871159,-2.0729896001430403,0.0,0.1601973088944416,0.6116284089192745,0.3181191833552717,1.622997144026816,0.3630300152722366,1.2191444646156797
KNN,-2.0317454127240984,-1.8764431025347932,-2.0938759733687466,-0.1601973088944416,0.0,0.12411279717611307,0.08108894158581245,0.71848549194019,0.2595730554139564,0.9156137020343402
GradientBoosting,-2.182532105910121,-2.0275113055593623,-2.2197489468780507,-0.6116284089192745,-0.12411279717611307,0.0,-0.06520996293622958,1.0750198053662752,0.1686567093852756,0.8387301738991195
ExtraTrees,-2.50404424841022,-2.560900388407116,-2.841095651767265,-0.3181191833552717,-0.08108894158581245,0.06520996293622958,0.0,0.9927225005073599,0.2210427555948509,1.0362507446748284
XGBoost,-2.992254086468761,-2.857669808361491,-3.0706411403447076,-1.622997144026816,-0.71848549194019,-1.0750198053662752,-0.9927225005073599,0.0,-0.2719158182710476,0.3522216904476802
NaiveBayes,-1.861982415386156,-1.816682867466277,-1.9174750995357335,-0.3630300152722366,-0.2595730554139564,-0.1686567093852756,-0.2210427555948509,0.2719158182710476,0.0,0.5339471703653321
LightGBM,-3.105227422770204,-3.0350994552733144,-3.1048547313203305,-1.2191444646156797,-0.9156137020343402,-0.8387301738991195,-1.0362507446748284,-0.3522216904476802,-0.5339471703653321,0.0
