Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.754 ± 0.177,0.828 ± 0.163,0.695 ± 0.109,0.708 ± 0.105,0.751 ± 0.150,0.663 ± 0.231,0.689 ± 0.160,0.753 ± 0.066,5.600 ± 1.673
SVM_Linear,0.748 ± 0.180,0.819 ± 0.166,0.682 ± 0.130,0.685 ± 0.144,0.708 ± 0.217,0.638 ± 0.291,0.658 ± 0.238,0.733 ± 0.064,5.600 ± 1.673
SVM_RBF,0.740 ± 0.178,0.819 ± 0.166,0.674 ± 0.134,0.680 ± 0.146,0.705 ± 0.216,0.627 ± 0.293,0.650 ± 0.238,0.733 ± 0.064,5.600 ± 1.673
RandomForest,0.724 ± 0.147,0.772 ± 0.164,0.691 ± 0.093,0.700 ± 0.088,0.746 ± 0.120,0.659 ± 0.241,0.681 ± 0.153,0.742 ± 0.091,5.600 ± 1.673
KNN,0.719 ± 0.222,0.734 ± 0.235,0.644 ± 0.171,0.650 ± 0.188,0.663 ± 0.302,0.610 ± 0.334,0.619 ± 0.292,0.691 ± 0.147,5.600 ± 1.673
GradientBoosting,0.707 ± 0.129,0.761 ± 0.152,0.677 ± 0.067,0.686 ± 0.075,0.731 ± 0.153,0.644 ± 0.185,0.674 ± 0.135,0.728 ± 0.088,5.600 ± 1.673
ExtraTrees,0.703 ± 0.173,0.779 ± 0.159,0.650 ± 0.094,0.661 ± 0.109,0.697 ± 0.199,0.624 ± 0.235,0.644 ± 0.179,0.697 ± 0.112,5.600 ± 1.673
XGBoost,0.700 ± 0.148,0.764 ± 0.174,0.630 ± 0.077,0.621 ± 0.092,0.668 ± 0.179,0.603 ± 0.188,0.627 ± 0.166,0.639 ± 0.139,5.600 ± 1.673
NaiveBayes,0.659 ± 0.165,0.780 ± 0.117,0.570 ± 0.102,0.536 ± 0.122,0.590 ± 0.109,0.860 ± 0.114,0.688 ± 0.062,0.213 ± 0.244,5.600 ± 1.673
LightGBM,0.645 ± 0.133,0.745 ± 0.157,0.624 ± 0.077,0.621 ± 0.093,0.658 ± 0.201,0.572 ± 0.232,0.601 ± 0.204,0.670 ± 0.109,5.600 ± 1.673
