fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.6790123456790123,0.7654092116954435,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.8,0.6666666666666666,10
2,0.4949494949494949,0.6435107376283847,0.5,0.5151515151515151,0.4444444444444444,0.5714285714285714,0.36363636363636365,10
3,0.8041666666666667,0.8518995874294788,0.6129032258064516,0.60625,0.6842105263157895,0.5909090909090909,0.8125,10
4,0.5062500000000001,0.6628641826010246,0.38461538461538464,0.3875,0.42857142857142855,0.5,0.375,10
5,0.8888888888888888,0.6791666666666667,0.6923076923076923,0.7777777777777778,0.6666666666666666,0.5,1.0,10
6,0.7111111111111111,0.6897759103641457,0.6842105263157895,0.6944444444444444,0.625,0.8333333333333334,0.5,10
7,0.7476190476190476,0.8547939307404149,0.41935483870967744,0.5714285714285714,0.25,1.0,0.14285714285714285,10
8,0.5909090909090909,0.7203510972030873,0.5405405405405406,0.5606060606060606,0.5405405405405406,0.6666666666666666,0.45454545454545453,10
9,1.0,1.0,0.7142857142857143,0.8,0.6666666666666666,0.5,1.0,10
10,0.6923076923076923,0.6079095465937572,0.5652173913043478,0.5230769230769231,0.2857142857142857,0.5,0.2,10
11,0.8764705882352941,0.8086019536019535,0.7777777777777778,0.7617647058823529,0.7,0.7,0.7,10
12,0.55,0.6583002907538512,0.42857142857142855,0.4888888888888889,0.38461538461538464,0.625,0.2777777777777778,10
13,0.6705882352941176,0.8164607577166072,0.5185185185185185,0.5352941176470588,0.5517241379310345,0.6666666666666666,0.47058823529411764,10
14,0.6875,0.4519230769230769,0.625,0.6666666666666667,0.5,0.375,0.75,10
15,0.9791666666666667,0.9963235294117647,0.47368421052631576,0.6875,0.5454545454545454,1.0,0.375,10
