k,mean_score,std_score,fold_scores,metric,tuning_model
14,0.6415671531770603,0.14540355239620406,"[0.4912280701754386, 0.5952380952380952, 0.8382352941176471]",auc,LogisticRegression
16,0.6261806476976756,0.14741794238885142,"[0.4692982456140351, 0.5857142857142856, 0.8235294117647058]",auc,LogisticRegression
18,0.6117548773895524,0.14388933050797822,"[0.4692982456140351, 0.5571428571428572, 0.8088235294117647]",auc,LogisticRegression
6,0.5846233230134158,0.06625174004530102,"[0.5921052631578947, 0.49999999999999994, 0.6617647058823529]",auc,LogisticRegression
12,0.572109194555015,0.11560804289207485,"[0.4385964912280701, 0.5571428571428572, 0.7205882352941176]",auc,LogisticRegression
4,0.5679296279915474,0.08955425229246625,"[0.5701754385964912, 0.4571428571428572, 0.6764705882352942]",auc,LogisticRegression
10,0.5671961767163005,0.055009612888951426,"[0.49780701754385964, 0.5714285714285714, 0.6323529411764706]",auc,LogisticRegression
8,0.5627622979016168,0.07411588554079757,"[0.5745614035087719, 0.4666666666666666, 0.6470588235294117]",auc,LogisticRegression
