k,mean_score,std_score,fold_scores,metric,tuning_model
8,0.6690515462445287,0.12385050326497708,"[0.4939271255060728, 0.753968253968254, 0.7592592592592593]",auc,LogisticRegression
18,0.6355686224107276,0.11101347962504454,"[0.4979757085020242, 0.7698412698412698, 0.6388888888888888]",auc,LogisticRegression
10,0.6265690936743568,0.14570164346541886,"[0.43724696356275294, 0.6507936507936507, 0.7916666666666667]",auc,LogisticRegression
6,0.6188655399181715,0.17497977450230484,"[0.3724696356275303, 0.7619047619047619, 0.7222222222222223]",auc,LogisticRegression
16,0.6124204742625795,0.08141371831224263,"[0.4979757085020242, 0.6587301587301587, 0.6805555555555556]",auc,LogisticRegression
12,0.6033879213703774,0.10422502819237048,"[0.4655870445344129, 0.626984126984127, 0.7175925925925926]",auc,LogisticRegression
14,0.591015466015466,0.10111976611392667,"[0.46153846153846145, 0.6031746031746033, 0.7083333333333334]",auc,LogisticRegression
4,0.5895588329798856,0.11805233404693927,"[0.44129554655870445, 0.7301587301587301, 0.5972222222222222]",auc,LogisticRegression
