precision,recall,threshold
0.5517241379310345,1.0,0.14285714285714285
0.5478260869565217,0.984375,0.16666666666666666
0.543859649122807,0.96875,0.2
0.5535714285714286,0.96875,0.21428571428571427
0.5596330275229358,0.953125,0.25
0.5660377358490566,0.9375,0.26666666666666666
0.5714285714285714,0.9375,0.2857142857142857
0.59,0.921875,0.3333333333333333
0.6470588235294118,0.859375,0.35714285714285715
0.6753246753246753,0.8125,0.4
0.6944444444444444,0.78125,0.4166666666666667
0.7164179104477612,0.75,0.42857142857142855
0.7704918032786885,0.734375,0.4666666666666667
0.7735849056603774,0.640625,0.5
0.85,0.53125,0.5333333333333333
0.8648648648648649,0.5,0.5714285714285714
0.84375,0.421875,0.5833333333333334
0.8214285714285714,0.359375,0.6
0.8518518518518519,0.359375,0.6428571428571429
0.9523809523809523,0.3125,0.6666666666666666
0.9473684210526315,0.28125,0.7142857142857143
0.9333333333333333,0.21875,0.7333333333333333
1.0,0.203125,0.75
1.0,0.171875,0.8
1.0,0.109375,0.8571428571428571
1.0,0.078125,0.8666666666666667
1.0,0.046875,0.9285714285714286
1.0,0.03125,0.9333333333333333
1.0,0.015625,1.0
1.0,0.0,
