Feature,Outlier_Count,Outlier_Rate
Pre_GLCM_JointMaximum,14,0.12280701754385964
Pre_GLRLM_LowGreyLevelRunEmphasis,14,0.12280701754385964
ADC_NGTDM_Busyness,13,0.11403508771929824
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,13,0.11403508771929824
T2_GLSZM_SmallZoneLowGreyLevelEmphasis,13,0.11403508771929824
T2_GLSZM_SmallZoneHighGreyLevelEmphasis,13,0.11403508771929824
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,13,0.11403508771929824
T2_GLSZM_GreyLevelNonUniformity,13,0.11403508771929824
T2_IH_MaximumHistogramGradientGreyLevel_Intensity,13,0.11403508771929824
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,13,0.11403508771929824
T2_GLCM_Autocorrelation,13,0.11403508771929824
T2_GLRLM_ShortRunHighGreyLevelEmphasis,13,0.11403508771929824
Pre_IH_Uniformity_Intensity,12,0.10526315789473684
ADC_GLRLM_RunLengthNonUniformity,12,0.10526315789473684
Pre_IB_IntensityBasedEnergy,12,0.10526315789473684
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,12,0.10526315789473684
T2_GLSZM_GreyLevelVariance,12,0.10526315789473684
T2_GLCM_JointMaximum,12,0.10526315789473684
ADC_GLCM_SumAverage,12,0.10526315789473684
Pre_GLSZM_ZoneSizeNonUniformity,12,0.10526315789473684
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,12,0.10526315789473684
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,12,0.10526315789473684
ADC_GLCM_Autocorrelation,12,0.10526315789473684
Pre_GLRLM_ShortRunLowGreyLevelEmphasis,12,0.10526315789473684
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,12,0.10526315789473684
ADC_IH_IntensityHistogramSkewness_Intensity,12,0.10526315789473684
T2_GLRLM_HighGreyLevelRunEmphasis,12,0.10526315789473684
Pre_GLRLM_RunLengthVariance,12,0.10526315789473684
Pre_GLRLM_LongRunsEmphasis,11,0.09649122807017543
ADC_IB_IntensityBasedMedianAbsoluteDeviation,11,0.09649122807017543
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,11,0.09649122807017543
T2_IH_IntensityHistogramKurtosis_Intensity,11,0.09649122807017543
T2_GLRLM_LongRunHighGreyLevelEmphasis,11,0.09649122807017543
T2_IB_IntensityKurtosis,11,0.09649122807017543
ADC_GLCM_DifferenceAverage,10,0.08771929824561403
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,10,0.08771929824561403
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,10,0.08771929824561403
Pre_NGTDM_Complexity,10,0.08771929824561403
ADC_IB_IntensitySkewness,10,0.08771929824561403
ADC_IH_IntensityHistogramMean_Intensity,10,0.08771929824561403
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,10,0.08771929824561403
ADC_IB_MeanIntensity,10,0.08771929824561403
T2_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,9,0.07894736842105263
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,9,0.07894736842105263
T2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,9,0.07894736842105263
T2_GLSZM_NormalisedGreyLevelNonUniformity,9,0.07894736842105263
T2_IB_MedianIntensity,9,0.07894736842105263
T2_IB_50thIntensityPercentile,9,0.07894736842105263
T2_IB_StandardDeviation,9,0.07894736842105263
T2_IH_IntensityHistogramStd_Intensity,9,0.07894736842105263
T2_IB_IntensityBasedRobustMeanAbsoluteDeviation,9,0.07894736842105263
T2_IH_IntensityHistogramMedian_Intensity,9,0.07894736842105263
T2_IB_IntensityBasedMeanAbsoluteDeviation,9,0.07894736842105263
T2_IH_IntensityHistogram50thPercentile,9,0.07894736842105263
T2_IH_Uniformity_Intensity,9,0.07894736842105263
ADC_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,9,0.07894736842105263
ADC_GLRLM_RunPercentage,9,0.07894736842105263
ADC_GLCM_JointAverage,9,0.07894736842105263
T2_GLCM_SumAverage,8,0.07017543859649122
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,8,0.07017543859649122
Pre_GLSZM_NormalisedGreyLevelNonUniformity,8,0.07017543859649122
T2_GLRLM_RunLengthVariance,8,0.07017543859649122
ADC_GLCM_ClusterProminence,8,0.07017543859649122
T2_GLCM_JointAverage,8,0.07017543859649122
ADC_GLCM_AngularSecondMoment,8,0.07017543859649122
T2_IB_IntensityBasedMedianAbsoluteDeviation,8,0.07017543859649122
T2_IH_IntensityHistogram75thPercentile,8,0.07017543859649122
Pre_GLRLM_RunPercentage,8,0.07017543859649122
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,8,0.07017543859649122
T2_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,8,0.07017543859649122
T2_GLRLM_LongRunsEmphasis,8,0.07017543859649122
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,8,0.07017543859649122
T2_GLSZM_HighGrayLevelZoneEmphasis,8,0.07017543859649122
