,LogisticRegression,SVM_RBF,SVM_Linear,XGBoost,LightGBM,NaiveBayes,RandomForest,KNN,ExtraTrees,GradientBoosting
LogisticRegression,0.0,-0.15192759659821042,-0.4935168159181974,0.392709603776669,0.5666784148041661,0.028338072768047003,1.4197059263499927,1.8227950133140556,1.7272751439837246,1.2133010993944986
SVM_RBF,0.15192759659821042,0.0,-0.3493766177673132,0.48183230387091935,0.647921528399559,0.10326488728353554,1.5008679383844805,2.261026067171938,1.9286337704781804,1.354412806501598
SVM_Linear,0.4935168159181974,0.3493766177673132,0.0,0.6081507422371201,0.7707611414371881,0.23189124728287308,1.5975396322078268,2.4661824281304217,2.0474890742586873,1.4551389365138285
XGBoost,-0.392709603776669,-0.48183230387091935,-0.6081507422371201,0.0,0.3150107744701444,-0.2447628366811731,0.9525785232168884,1.359253960454565,1.035219305237473,1.0150015965719554
LightGBM,-0.5666784148041661,-0.647921528399559,-0.7707611414371881,-0.3150107744701444,0.0,-0.3777574761000208,0.6813120543175423,1.084107665719,0.7783950733680893,0.6251345655458342
NaiveBayes,-0.028338072768047003,-0.10326488728353554,-0.23189124728287308,0.2447628366811731,0.3777574761000208,0.0,0.8158839738685769,1.4200609826113828,0.9862858753172176,0.8504533769124702
RandomForest,-1.4197059263499927,-1.5008679383844805,-1.5975396322078268,-0.9525785232168884,-0.6813120543175423,-0.8158839738685769,0.0,0.7563049655540056,0.291303073589381,0.10091111071712514
KNN,-1.8227950133140556,-2.261026067171938,-2.4661824281304217,-1.359253960454565,-1.084107665719,-1.4200609826113828,-0.7563049655540056,0.0,-0.5919872191348966,-0.6577964264810573
ExtraTrees,-1.7272751439837246,-1.9286337704781804,-2.0474890742586873,-1.035219305237473,-0.7783950733680893,-0.9862858753172176,-0.291303073589381,0.5919872191348966,0.0,-0.153657571731976
GradientBoosting,-1.2133010993944986,-1.354412806501598,-1.4551389365138285,-1.0150015965719554,-0.6251345655458342,-0.8504533769124702,-0.10091111071712514,0.6577964264810573,0.153657571731976,0.0
