Model,Baseline_ROC_AUC,Hier_ROC_AUC,Delta_ROC_AUC,Baseline_PR_AUC,Hier_PR_AUC,Delta_PR_AUC,Baseline_Sensitivity,Hier_Sensitivity,Delta_Sensitivity,Baseline_Specificity,Hier_Specificity,Delta_Specificity,Baseline_Kappa,Hier_Kappa,Delta_Kappa,Baseline_Brier,Hier_Brier,Delta_Brier,Baseline_Mean_Selected_Features,Hier_Mean_Selected_Features
LogisticRegression,0.5349112426035503,0.5349112426035503,0.0,0.6305402489917207,0.6305402489917207,0.0,0.36923076923076925,0.36923076923076925,0.0,0.6538461538461539,0.6538461538461539,0.0,0.022099447513812098,0.022099447513812098,0.0,0.2494748635224233,0.2494748635224233,0.0,16.0,16.0
SVM_RBF,0.5455621301775148,0.5455621301775148,0.0,0.6247504420002441,0.6247504420002441,0.0,0.7538461538461538,0.7538461538461538,0.0,0.28846153846153844,0.28846153846153844,0.0,0.044088176352705344,0.044088176352705344,0.0,0.24656597465890068,0.24656597465890068,0.0,16.0,16.0
SVM_Linear,0.5309171597633137,0.5309171597633137,0.0,0.6229963341652558,0.6229963341652558,0.0,0.7538461538461538,0.7538461538461538,0.0,0.21153846153846154,0.21153846153846154,0.0,-0.036363636363636376,-0.036363636363636376,0.0,0.2504963471365756,0.2504963471365756,0.0,16.0,16.0
RandomForest,0.548076923076923,0.548076923076923,0.0,0.5750823014719962,0.5750823014719962,0.0,0.5692307692307692,0.5692307692307692,0.0,0.5192307692307693,0.5192307692307693,0.0,0.08795411089866156,0.08795411089866156,0.0,0.2650205988413387,0.2650205988413387,0.0,16.0,16.0
GradientBoosting,0.5550295857988167,0.5550295857988167,0.0,0.6265868301185558,0.6265868301185558,0.0,0.6923076923076923,0.6923076923076923,0.0,0.38461538461538464,0.38461538461538464,0.0,0.07874015748031493,0.07874015748031493,0.0,0.26789861336805937,0.26789861336805937,0.0,16.0,16.0
ExtraTrees,0.558284023668639,0.558284023668639,0.0,0.6229581842317856,0.6229581842317856,0.0,0.5384615384615384,0.5384615384615384,0.0,0.4807692307692308,0.4807692307692308,0.0,0.019120458891013437,0.019120458891013437,0.0,0.25019746173127744,0.25019746173127744,0.0,16.0,16.0
KNN,0.5539940828402367,0.5539940828402367,0.0,0.6105687506681703,0.6105687506681703,0.0,0.6923076923076923,0.6923076923076923,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.2645703611844169,0.2645703611844169,0.0,16.0,16.0
NaiveBayes,0.5476331360946746,0.5476331360946746,0.0,0.6240738081396262,0.6240738081396262,0.0,0.8615384615384616,0.8615384615384616,0.0,0.21153846153846154,0.21153846153846154,0.0,0.07786885245901654,0.07786885245901654,0.0,0.39326766101323124,0.39326766101323124,0.0,16.0,16.0
XGBoost,0.5455621301775148,0.5455621301775148,0.0,0.5765190913378717,0.5765190913378717,0.0,0.5692307692307692,0.5692307692307692,0.0,0.5192307692307693,0.5192307692307693,0.0,0.08795411089866156,0.08795411089866156,0.0,0.30531551804744844,0.30531551804744844,0.0,16.0,16.0
LightGBM,0.5624260355029586,0.5624260355029586,0.0,0.6277712874660948,0.6277712874660948,0.0,0.5384615384615384,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,0.0,0.07604562737642584,0.07604562737642584,0.0,0.2699139224837891,0.2699139224837891,0.0,16.0,16.0
