Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post2_GLSZM_GreyLevelVariance
1,2,T2_Morph_Compacity
1,3,T2_GLCM_ClusterShade
1,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
1,5,Post2_IH_IntensityHistogramMode_Intensity
1,6,T2_Morph_Volume_cm3
1,7,T2_GLSZM_NormalisedZoneSizeNonUniformity
1,8,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,9,Post1_Morph_Sphericity
1,10,Post2_GLSZM_ZoneSizeVariance
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,T2_Morph_Compacity
2,3,T2_Morph_SurfaceToVolumeRatio_cm
2,4,Post2_GLSZM_LargeZoneLowGreyLevelEmphasis
2,5,Post2_GLSZM_LargeZoneHighGreyLevelEmphasis
2,6,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
3,1,Post2_IH_IntensityHistogramMode_Intensity
3,2,Post2_GLSZM_GreyLevelNonUniformity
3,3,T2_GLCM_ClusterShade
3,4,Post2_GLSZM_LargeZoneLowGreyLevelEmphasis
4,1,Post1_IH_IntensityHistogramMode_Intensity
4,2,T2_Morph_SurfaceArea_cm2
4,3,T2_GLSZM_SmallZoneLowGreyLevelEmphasis
4,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
4,5,T2_Morph_Compacity
4,6,Post2_GLSZM_LargeZoneLowGreyLevelEmphasis
4,7,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
4,8,Post2_IH_IntensityHistogramMode_Intensity
4,9,T2_Morph_SurfaceToVolumeRatio_cm
4,10,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
4,11,Post2_Morph_Compactness1
4,12,T2_IB_IntensityBasedEnergy
4,13,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
4,14,Post2_GLSZM_NormalisedGreyLevelNonUniformity
4,15,T2_Morph_Compactness1
4,16,Post2_GLCM_Autocorrelation
4,17,Post2_GLSZM_GreyLevelNonUniformity
4,18,Post1_Morph_Compactness1
5,1,Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity
5,2,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
5,3,T2_GLCM_ClusterShade
5,4,Post1_Morph_Compactness1
5,5,Post2_GLSZM_LargeZoneLowGreyLevelEmphasis
5,6,T2_Morph_SurfaceArea_cm2
