Fusion_Level,Configuration,Raw_Model,Classifier,Source_File,Source_Row
Triple,Post1_Post2_Pre,SVM_Linear,Linear SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Triple/batch_all_10_triple_runner_artifacts_smote_compare/summary_tables/publication_all_10_triple_concat_summary.csv,8
Triple,Post2_Pre_T2,SVM_RBF,RBF SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Triple/batch_all_10_triple_runner_artifacts_smote_compare/summary_tables/publication_all_10_triple_concat_summary.csv,9
Triple,Post1_Post2_T2,NaiveBayes,Gaussian Naive Bayes,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Triple/batch_all_10_triple_runner_artifacts_smote_compare/summary_tables/publication_all_10_triple_concat_summary.csv,10
Triple,Post1_Pre_T2,NaiveBayes,Gaussian Naive Bayes,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Triple/batch_all_10_triple_runner_artifacts_smote_compare/summary_tables/publication_all_10_triple_concat_summary.csv,11
Quadruple,ADC_Post2_Pre_T2,SVM_RBF,RBF SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Quad/batch_all_5_quad_runner_artifacts_smote_compare/summary_tables/publication_all_5_quad_concat_summary.csv,2
Quadruple,ADC_Post1_Post2_Pre,SVM_RBF,RBF SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Quad/batch_all_5_quad_runner_artifacts_smote_compare/summary_tables/publication_all_5_quad_concat_summary.csv,3
Quadruple,ADC_Post1_Post2_T2,LogisticRegression,Logistic Regression,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Quad/batch_all_5_quad_runner_artifacts_smote_compare/summary_tables/publication_all_5_quad_concat_summary.csv,4
Quadruple,ADC_Post1_Pre_T2,SVM_Linear,Linear SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Quad/batch_all_5_quad_runner_artifacts_smote_compare/summary_tables/publication_all_5_quad_concat_summary.csv,5
Quadruple,Post1_Post2_Pre_T2,SVM_RBF,RBF SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Quad/batch_all_5_quad_runner_artifacts_smote_compare/summary_tables/publication_all_5_quad_concat_summary.csv,6
All-five,All five sources,SVM_RBF,RBF SVM,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/All/batch_all_5_concat_runner_artifacts_smote_compare/summary_tables/publication_all_5_concat_summary.csv,2
