Classifier,Single,Pairwise,Triple,Quadruple,All-five,Total
RBF SVM,2,4,1,3,1,11
Logistic Regression,1,2,3,1,0,7
Linear SVM,1,1,3,1,0,6
Gaussian Naive Bayes,0,1,2,0,0,3
KNN,1,1,0,0,0,2
XGBoost,0,1,0,0,0,1
LightGBM,0,0,1,0,0,1
Random Forest,0,0,0,0,0,0
Extra Trees,0,0,0,0,0,0
Gradient Boosting,0,0,0,0,0,0
