,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,Morph_Asphericity,IB_IntensitySkewness,IH_IntensityHistogramSkewness_Intensity,Morph_Volume_cm3,Morph_ApproximateVolume_cm3,Morph_voxelsCounting_vx,Morph_SurfaceArea_cm2,Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536,0.5225614050862444,0.3232102983710231,-0.133675013862039,-0.5380919286821383,-0.0619111811537427,0.09821207718034033,-0.20209206746545563,-0.31255327080888207
Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536,-0.5225614050862444,-0.3232102983710231,0.133675013862039,0.5380919286821383,0.0619111811537427,-0.09821207718034033,0.20209206746545563,0.31255327080888207
Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536,-0.5225614050862444,-0.3232102983710231,0.133675013862039,0.5380919286821383,0.0619111811537427,-0.09821207718034033,0.20209206746545563,0.31255327080888207
Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536,0.5225614050862444,0.3232102983710231,-0.133675013862039,-0.5380919286821383,-0.0619111811537427,0.09821207718034033,-0.20209206746545563,-0.31255327080888207
Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536,-0.5225614050862444,-0.3232102983710231,0.133675013862039,0.5380919286821383,0.0619111811537427,-0.09821207718034033,0.20209206746545563,0.31255327080888207
Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536,0.5225614050862444,0.3232102983710231,-0.133675013862039,-0.5380919286821383,-0.0619111811537427,0.09821207718034033,-0.20209206746545563,-0.31255327080888207
IB_IntensitySkewness,-0.05651965412339462,0.05651965412339462,0.05651965412339462,-0.05651965412339462,0.05651965412339462,-0.05651965412339462,1.0,0.9981941884338144,0.037573689051469836,0.03726342726161618,0.03726342726161618,0.03226483238172309,0.08286502120517317,0.060266151148675985,0.152609809827811,0.01857905276510001,0.023828505922557003,0.07263363944507018,0.010681383073061568,0.034718983045680676
IH_IntensityHistogramSkewness_Intensity,-0.056534640111495754,0.056534640111495754,0.056534640111495754,-0.056534640111495754,0.056534640111495754,-0.056534640111495754,0.9981941884338144,1.0,0.030376654784057974,0.03004003215198457,0.03004003215198457,0.02525138995039638,0.07998771148975707,0.06341320864991233,0.1553222736741147,0.022775168735439194,0.02165603313033829,0.06194527786952159,0.005226422092922092,0.02958250675824912
Morph_Volume_cm3,0.47661151188381046,-0.47661151188381046,-0.47661151188381046,0.47661151188381046,-0.47661151188381046,0.47661151188381046,0.037573689051469836,0.030376654784057974,1.0,0.9999250685505554,0.9999250685505554,0.9931307848381421,0.8500068373713707,0.2595727861443849,-0.30344809499688896,-0.7602814400411252,0.0002576059519934671,0.07381826107459051,-0.5067915515606556,-0.5174775395856693
Morph_ApproximateVolume_cm3,0.4794678366987061,-0.4794678366987061,-0.4794678366987061,0.4794678366987061,-0.4794678366987061,0.4794678366987061,0.03726342726161618,0.03004003215198457,0.9999250685505554,1.0,1.0,0.9935352863836403,0.849989041450847,0.25963010078176935,-0.30376099860145334,-0.7611180632009241,0.0011935966035602145,0.07465600243596093,-0.5062989987389932,-0.5175902649049436
