Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,2,ADC_GLSZM_GreyLevelVariance
1,3,Pre_GLCM_ClusterProminence
1,4,Post1_Morph_Sphericity
1,5,ADC_IB_MedianIntensity
1,6,Post1_GLCM_InverseDifferenceMoment
1,7,Post1_Morph_Compactness2
1,8,ADC_IH_IntensityHistogramMedian_Intensity
1,9,Post2_GLSZM_HighGrayLevelZoneEmphasis
1,10,Post1_Morph_Compactness1
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,Pre_IB_IntensityBasedEnergy
2,3,Pre_IH_IntensityHistogramMinimumGreyLevel_Intensity
2,4,Post1_Morph_Compactness2
2,5,ADC_IH_IntensityHistogramMedian_Intensity
2,6,Pre_IH_IntensityHistogramSkewness_Intensity
2,7,ADC_GLSZM_GreyLevelVariance
2,8,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
2,9,Post2_Morph_Compactness2
2,10,T2_GLSZM_ZonePercentage
2,11,Post2_IH_IntensityHistogramRange_Intensity
2,12,Post2_IB_10thIntensityPercentile
2,13,Pre_Morph_Compactness2
2,14,ADC_IB_MedianIntensity
2,15,Pre_IB_TotalLesionGlycolysis
2,16,Post2_IH_IntensityHistogram10thPercentile
2,17,T2_Morph_Compactness2
2,18,Pre_IH_IntensityHistogramMedian_Intensity
3,1,Post2_IH_IntensityHistogramMode_Intensity
3,2,Post1_Morph_Compactness1
3,3,ADC_IB_MedianIntensity
3,4,Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
3,5,Pre_GLCM_ClusterProminence
3,6,T2_GLCM_ClusterShade
3,7,Pre_IB_IntensityBasedEnergy
3,8,Post1_Morph_Compactness2
3,9,Pre_IH_IntensityHistogramSkewness_Intensity
3,10,T2_GLCM_ClusterProminence
3,11,Pre_GLSZM_HighGrayLevelZoneEmphasis
3,12,Post2_Morph_Compactness1
3,13,Pre_IB_IntensityBasedQuartileCoefficientOfDispersion
3,14,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
3,15,ADC_IH_IntensityHistogramMedian_Intensity
3,16,Post2_GLCM_Autocorrelation
3,17,Pre_Morph_Compactness1
3,18,Pre_IH_IntensityHistogramKurtosis_Intensity
4,1,Post2_IH_IntensityHistogramMode_Intensity
4,2,Pre_GLSZM_GreyLevelVariance
4,3,Pre_IB_IntensityBasedEnergy
4,4,T2_GLCM_ClusterShade
4,5,Post1_Morph_Sphericity
4,6,ADC_IH_IntensityHistogramMedian_Intensity
4,7,Post1_IH_IntensityHistogramMode_Intensity
4,8,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
5,1,ADC_IH_IntensityHistogramMedian_Intensity
5,2,Pre_IH_IntensityHistogramMean_Intensity
5,3,Post1_Morph_Sphericity
5,4,T2_GLSZM_GreyLevelVariance
5,5,Post2_GLCM_Autocorrelation
5,6,T2_IB_IntensityBasedEnergy
5,7,T2_GLSZM_NormalisedZoneSizeNonUniformity
5,8,Post1_Morph_Compactness1
5,9,T2_GLCM_SumVariance
5,10,Post2_IH_IntensityHistogramMode_Intensity
