Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.742 ± 0.125,0.790 ± 0.084,0.626 ± 0.119,0.655 ± 0.085,0.643 ± 0.194,0.715 ± 0.230,0.640 ± 0.150,0.596 ± 0.165,11.200 ± 5.020
XGBoost,0.678 ± 0.104,0.745 ± 0.092,0.595 ± 0.072,0.603 ± 0.046,0.619 ± 0.194,0.622 ± 0.160,0.592 ± 0.142,0.584 ± 0.160,11.200 ± 5.020
ExtraTrees,0.662 ± 0.070,0.721 ± 0.122,0.549 ± 0.083,0.556 ± 0.059,0.583 ± 0.187,0.602 ± 0.183,0.558 ± 0.145,0.511 ± 0.239,11.200 ± 5.020
SVM_Linear,0.652 ± 0.108,0.674 ± 0.193,0.590 ± 0.112,0.581 ± 0.114,0.615 ± 0.255,0.547 ± 0.209,0.558 ± 0.214,0.615 ± 0.180,11.200 ± 5.020
SVM_RBF,0.652 ± 0.099,0.703 ± 0.129,0.581 ± 0.066,0.565 ± 0.072,0.581 ± 0.215,0.547 ± 0.205,0.549 ± 0.196,0.583 ± 0.124,11.200 ± 5.020
LogisticRegression,0.636 ± 0.134,0.672 ± 0.205,0.603 ± 0.127,0.591 ± 0.126,0.617 ± 0.256,0.582 ± 0.253,0.575 ± 0.231,0.600 ± 0.180,11.200 ± 5.020
RandomForest,0.616 ± 0.136,0.683 ± 0.205,0.519 ± 0.142,0.525 ± 0.121,0.532 ± 0.205,0.593 ± 0.203,0.539 ± 0.187,0.456 ± 0.154,11.200 ± 5.020
LightGBM,0.614 ± 0.117,0.706 ± 0.093,0.539 ± 0.080,0.573 ± 0.075,0.569 ± 0.155,0.601 ± 0.291,0.537 ± 0.142,0.545 ± 0.161,11.200 ± 5.020
GradientBoosting,0.612 ± 0.103,0.656 ± 0.201,0.577 ± 0.103,0.582 ± 0.048,0.596 ± 0.195,0.642 ± 0.168,0.590 ± 0.159,0.523 ± 0.185,11.200 ± 5.020
NaiveBayes,0.605 ± 0.199,0.655 ± 0.251,0.574 ± 0.145,0.561 ± 0.100,0.566 ± 0.198,0.796 ± 0.127,0.646 ± 0.181,0.326 ± 0.204,11.200 ± 5.020
