,KNN,XGBoost,ExtraTrees,SVM_Linear,SVM_RBF,LogisticRegression,RandomForest,LightGBM,GradientBoosting,NaiveBayes
KNN,1.0,0.08561162317927447,0.020055134832634512,0.13080822602612982,0.18830043538853325,0.11884274174946556,0.01157158523245628,0.005068992276607937,0.017044623656908675,0.06569853142987044
XGBoost,0.08561162317927447,1.0,0.6757380401481847,0.8303673970187655,0.6674374794281572,0.8306361941852388,0.48587480733638766,0.13593609918192745,0.322887558047666,0.6403342081648767
ExtraTrees,0.020055134832634512,0.6757380401481847,1.0,0.4169634091681841,0.2643887685885844,0.4037608459053823,0.7130941858533257,0.3032209228324395,0.4467627785307122,0.8132190232210202
SVM_Linear,0.13080822602612982,0.8303673970187655,0.4169634091681841,1.0,0.66065328690816,0.9813805550862724,0.30066759110454633,0.1290751902112655,0.16049988267789006,0.3938375677342182
SVM_RBF,0.18830043538853325,0.6674374794281572,0.2643887685885844,0.66065328690816,1.0,0.6830454906221268,0.19318709985734428,0.09777763167851622,0.12270430638036108,0.3323227080206761
LogisticRegression,0.11884274174946556,0.8306361941852388,0.4037608459053823,0.9813805550862724,0.6830454906221268,1.0,0.2994166298876808,0.13446305168027198,0.16647409452877904,0.408635900231168
RandomForest,0.01157158523245628,0.48587480733638766,0.7130941858533257,0.30066759110454633,0.19318709985734428,0.2994166298876808,1.0,0.4168609695382146,0.5621888958692968,0.9780963681241752
LightGBM,0.005068992276607937,0.13593609918192745,0.3032209228324395,0.1290751902112655,0.09777763167851622,0.13446305168027198,0.4168609695382146,1.0,0.8693539478850598,0.5636453452565762
GradientBoosting,0.017044623656908675,0.322887558047666,0.4467627785307122,0.16049988267789006,0.12270430638036108,0.16647409452877904,0.5621888958692968,0.8693539478850598,1.0,0.6769593615404716
NaiveBayes,0.06569853142987044,0.6403342081648767,0.8132190232210202,0.3938375677342182,0.3323227080206761,0.408635900231168,0.9780963681241752,0.5636453452565762,0.6769593615404716,1.0
