Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.757 ± 0.072,0.769 ± 0.110,0.659 ± 0.081,0.683 ± 0.046,0.689 ± 0.160,0.813 ± 0.202,0.713 ± 0.082,0.554 ± 0.199,12.000 ± 4.690
SVM_RBF,0.755 ± 0.070,0.784 ± 0.096,0.634 ± 0.078,0.663 ± 0.046,0.684 ± 0.149,0.755 ± 0.223,0.681 ± 0.081,0.571 ± 0.197,12.000 ± 4.690
LogisticRegression,0.750 ± 0.105,0.794 ± 0.095,0.669 ± 0.066,0.697 ± 0.062,0.750 ± 0.156,0.674 ± 0.211,0.679 ± 0.078,0.719 ± 0.197,12.000 ± 4.690
GradientBoosting,0.718 ± 0.131,0.766 ± 0.127,0.528 ± 0.084,0.558 ± 0.103,0.606 ± 0.170,0.769 ± 0.273,0.626 ± 0.056,0.346 ± 0.362,12.000 ± 4.690
RandomForest,0.713 ± 0.104,0.708 ± 0.120,0.679 ± 0.119,0.698 ± 0.114,0.732 ± 0.126,0.730 ± 0.212,0.708 ± 0.094,0.665 ± 0.174,12.000 ± 4.690
ExtraTrees,0.707 ± 0.072,0.716 ± 0.116,0.653 ± 0.106,0.663 ± 0.099,0.694 ± 0.146,0.644 ± 0.317,0.632 ± 0.213,0.682 ± 0.157,12.000 ± 4.690
XGBoost,0.698 ± 0.115,0.676 ± 0.149,0.663 ± 0.107,0.702 ± 0.090,0.735 ± 0.156,0.738 ± 0.281,0.690 ± 0.105,0.666 ± 0.219,12.000 ± 4.690
LightGBM,0.694 ± 0.092,0.716 ± 0.115,0.606 ± 0.091,0.621 ± 0.117,0.695 ± 0.186,0.556 ± 0.158,0.598 ± 0.101,0.686 ± 0.240,12.000 ± 4.690
NaiveBayes,0.674 ± 0.122,0.730 ± 0.128,0.601 ± 0.132,0.598 ± 0.165,0.626 ± 0.181,0.780 ± 0.111,0.680 ± 0.101,0.416 ± 0.304,12.000 ± 4.690
KNN,0.637 ± 0.128,0.666 ± 0.159,0.605 ± 0.047,0.617 ± 0.050,0.637 ± 0.139,0.751 ± 0.171,0.668 ± 0.058,0.482 ± 0.139,12.000 ± 4.690
