,LogisticRegression,SVM_RBF,SVM_Linear,RandomForest,ExtraTrees,NaiveBayes,LightGBM,GradientBoosting,XGBoost,KNN
LogisticRegression,0.0,1.2813272589074027,2.7200625822320488,0.8282681920864761,1.0217603580164372,2.214470625179379,0.9324605480932916,2.7207804858727784,2.290293583298427,3.073938643224844
SVM_RBF,-1.2813272589074027,0.0,0.9767055757503686,0.2479284797323557,0.5237974598357944,1.6569850571366738,0.5510388025032504,2.2800245646111845,1.918739712022948,2.6860980262395104
SVM_Linear,-2.7200625822320488,-0.9767055757503686,0.0,-0.23649027734795292,0.026598189401376343,1.391618207978941,0.1684018378072675,1.7922636295518397,1.4254936496774646,2.142108713602321
RandomForest,-0.8282681920864761,-0.2479284797323557,0.23649027734795292,0.0,0.34416462552567395,1.2305479299733602,0.37652749086875753,2.3739448717858904,2.2048576032348164,2.4371939882499634
ExtraTrees,-1.0217603580164372,-0.5237974598357944,-0.026598189401376343,-0.34416462552567395,0.0,1.0326308219937421,0.17273323717571828,1.9816740574749694,1.8076633098705477,2.48888111173145
NaiveBayes,-2.214470625179379,-1.6569850571366738,-1.391618207978941,-1.2305479299733602,-1.0326308219937421,0.0,-0.7278269932772666,0.3583594704162768,0.15978511007712767,0.8898595494940241
LightGBM,-0.9324605480932916,-0.5510388025032504,-0.1684018378072675,-0.37652749086875753,-0.17273323717571828,0.7278269932772666,0.0,1.4053936432940173,1.3196033618257859,1.6774488564318824
GradientBoosting,-2.7207804858727784,-2.2800245646111845,-1.7922636295518397,-2.3739448717858904,-1.9816740574749694,-0.3583594704162768,-1.4053936432940173,0.0,-0.30329840271253944,0.5914942564540948
XGBoost,-2.290293583298427,-1.918739712022948,-1.4254936496774646,-2.2048576032348164,-1.8076633098705477,-0.15978511007712767,-1.3196033618257859,0.30329840271253944,0.0,0.8016652660500306
KNN,-3.073938643224844,-2.6860980262395104,-2.142108713602321,-2.4371939882499634,-2.48888111173145,-0.8898595494940241,-1.6774488564318824,-0.5914942564540948,-0.8016652660500306,0.0
