metric,mean,std,min,max,pooled
AUC,0.6721825396825396,0.07907789309992204,0.5428571428571429,0.7916666666666666,0.6526984126984127
PR_AUC,0.7336383049096081,0.1295243844813931,0.5380219934863898,0.886204481792717,0.6917908785052405
Accuracy,0.6236974789915967,0.0597693830295874,0.5416666666666666,0.7083333333333334,0.6194690265486725
Bal_Accuracy,0.6348412698412698,0.05132558765958418,0.55,0.7083333333333333,0.6195238095238096
F1_Score,0.6466335403726708,0.08350767006361587,0.5217391304347826,0.72,0.6446280991735537
Precision,0.6816783216783217,0.12904354797205592,0.46153846153846156,0.8181818181818182,0.6724137931034483
Recall,0.6430158730158729,0.11906920439231251,0.4444444444444444,0.7777777777777778,0.6190476190476191
