Metric,Value
ROC-AUC,0.72453125
PR-AUC,0.7698655167050834
Balanced Acc.,0.6815625000000001
Sensitivity,0.703125
Specificity,0.66
PPV,0.7258064516129032
NPV,0.6346153846153846
Kappa,0.36154324828873674
