Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.718 ± 0.133,0.776 ± 0.116,0.586 ± 0.109,0.582 ± 0.107,0.591 ± 0.128,0.754 ± 0.212,0.642 ± 0.111,0.411 ± 0.183,8.400 ± 2.966
ExtraTrees,0.675 ± 0.159,0.710 ± 0.143,0.635 ± 0.086,0.624 ± 0.097,0.640 ± 0.103,0.690 ± 0.100,0.658 ± 0.081,0.558 ± 0.152,8.400 ± 2.966
GradientBoosting,0.664 ± 0.120,0.698 ± 0.161,0.627 ± 0.131,0.630 ± 0.122,0.637 ± 0.160,0.658 ± 0.169,0.636 ± 0.146,0.602 ± 0.095,8.400 ± 2.966
NaiveBayes,0.639 ± 0.075,0.699 ± 0.138,0.564 ± 0.113,0.529 ± 0.076,0.547 ± 0.172,0.783 ± 0.207,0.637 ± 0.181,0.276 ± 0.117,8.400 ± 2.966
XGBoost,0.635 ± 0.127,0.679 ± 0.212,0.623 ± 0.086,0.618 ± 0.078,0.631 ± 0.162,0.713 ± 0.107,0.655 ± 0.112,0.522 ± 0.175,8.400 ± 2.966
KNN,0.629 ± 0.123,0.658 ± 0.126,0.603 ± 0.044,0.595 ± 0.076,0.620 ± 0.135,0.692 ± 0.090,0.640 ± 0.059,0.498 ± 0.214,8.400 ± 2.966
RandomForest,0.619 ± 0.163,0.688 ± 0.155,0.634 ± 0.086,0.616 ± 0.103,0.650 ± 0.102,0.670 ± 0.143,0.648 ± 0.088,0.562 ± 0.228,8.400 ± 2.966
LogisticRegression,0.604 ± 0.190,0.659 ± 0.154,0.590 ± 0.163,0.580 ± 0.165,0.618 ± 0.136,0.679 ± 0.235,0.627 ± 0.126,0.482 ± 0.334,8.400 ± 2.966
LightGBM,0.573 ± 0.144,0.637 ± 0.215,0.599 ± 0.122,0.590 ± 0.104,0.619 ± 0.208,0.651 ± 0.139,0.621 ± 0.169,0.529 ± 0.193,8.400 ± 2.966
SVM_Linear,0.532 ± 0.183,0.591 ± 0.121,0.552 ± 0.086,0.541 ± 0.111,0.567 ± 0.139,0.778 ± 0.178,0.637 ± 0.079,0.304 ± 0.308,8.400 ± 2.966
