,SVM_RBF,ExtraTrees,GradientBoosting,NaiveBayes,XGBoost,KNN,RandomForest,LogisticRegression,LightGBM,SVM_Linear
SVM_RBF,0.0,-1.7265510845680485,-0.8659094434678465,0.45371247592843894,-0.22157401556736603,0.24162319833234538,-0.07937103837268134,0.8013801003794343,0.3458750208585709,2.013677965585963
ExtraTrees,1.7265510845680485,0.0,1.1090269977794978,1.8900650105380963,1.491734057251738,1.910524297902337,2.6141683387421177,2.763331032681278,1.910777075019269,3.615483839899494
GradientBoosting,0.8659094434678465,-1.1090269977794978,0.0,1.162929593141545,1.0014636643739863,1.0849115087520487,1.3594145279650436,1.618104001982458,1.6033215654385828,2.7937059513178055
NaiveBayes,-0.45371247592843894,-1.8900650105380963,-1.162929593141545,0.0,-0.6312734010662233,-0.2921749858665912,-0.5444910684143185,0.06779707363113811,-0.15483335986162697,1.1462807204768979
XGBoost,0.22157401556736603,-1.491734057251738,-1.0014636643739863,0.6312734010662233,0.0,0.4357536726535031,0.2196702811481634,0.8863663014542925,1.0241630434047413,2.074186356598859
KNN,-0.24162319833234538,-1.910524297902337,-1.0849115087520487,0.2921749858665912,-0.4357536726535031,0.0,-0.3102285019324333,0.47563044377400776,0.1428734167658761,1.6210792777031628
RandomForest,0.07937103837268134,-2.6141683387421177,-1.3594145279650436,0.5444910684143185,-0.2196702811481634,0.3102285019324333,0.0,0.9328039284587208,0.5448860196666578,2.1949225438586306
LogisticRegression,-0.8013801003794343,-2.763331032681278,-1.618104001982458,-0.06779707363113811,-0.8863663014542925,-0.47563044377400776,-0.9328039284587208,0.0,-0.26525030249655057,2.0981418203995377
LightGBM,-0.3458750208585709,-1.910777075019269,-1.6033215654385828,0.15483335986162697,-1.0241630434047413,-0.1428734167658761,-0.5448860196666578,0.26525030249655057,0.0,1.4623556274144986
SVM_Linear,-2.013677965585963,-3.615483839899494,-2.7937059513178055,-1.1462807204768979,-2.074186356598859,-1.6210792777031628,-2.1949225438586306,-2.0981418203995377,-1.4623556274144986,0.0
