,SVM_RBF,ExtraTrees,GradientBoosting,NaiveBayes,XGBoost,KNN,RandomForest,LogisticRegression,LightGBM,SVM_Linear
SVM_RBF,1.0,0.08424831730990887,0.38653982399321474,0.6500357861627643,0.8246455122749938,0.8090721449460954,0.9367375039787911,0.4229116318293209,0.7294366418536071,0.04404335487667193
ExtraTrees,0.08424831730990887,1.0,0.26741853545985106,0.058749265963787545,0.13576887711234586,0.05606574096325663,0.008944495441667269,0.005721470691840585,0.05603323499304495,0.0002997871767171701
GradientBoosting,0.38653982399321474,0.26741853545985106,1.0,0.2448580695241852,0.316602698381802,0.2779608502137022,0.17401527004397976,0.10564018620470725,0.10886367769011726,0.005210783648798316
NaiveBayes,0.6500357861627643,0.058749265963787545,0.2448580695241852,1.0,0.5278617755949929,0.7701528359910309,0.5861035929519711,0.9459471733083595,0.8769526909727783,0.25167901753495014
XGBoost,0.8246455122749938,0.13576887711234586,0.316602698381802,0.5278617755949929,1.0,0.663015459459499,0.8261279515331156,0.37542017203511713,0.30575827119710175,0.03806200682974948
KNN,0.8090721449460954,0.05606574096325663,0.2779608502137022,0.7701528359910309,0.663015459459499,1.0,0.7563871975980536,0.6343376824872426,0.8863901535047152,0.10500063755098296
RandomForest,0.9367375039787911,0.008944495441667269,0.17401527004397976,0.5861035929519711,0.8261279515331156,0.7563871975980536,1.0,0.3509212125301945,0.5858319120608205,0.028169154378168998
LogisticRegression,0.4229116318293209,0.005721470691840585,0.10564018620470725,0.9459471733083595,0.37542017203511713,0.6343376824872426,0.3509212125301945,1.0,0.7908166464360762,0.03589261921081823
LightGBM,0.7294366418536071,0.05603323499304495,0.10886367769011726,0.8769526909727783,0.30575827119710175,0.8863901535047152,0.5858319120608205,0.7908166464360762,1.0,0.14364378220121118
SVM_Linear,0.04404335487667193,0.0002997871767171701,0.005210783648798316,0.25167901753495014,0.03806200682974948,0.10500063755098296,0.028169154378168998,0.03589261921081823,0.14364378220121118,1.0
