Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Post2_IH_IntensityHistogramMode_Intensity,Post2_IH_IntensityHistogramMode_Intensity,0.07841823402813185,3
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.06248492625229867,3
ADC_IH_IntensityHistogramMedian_Intensity,ADC_IH_IntensityHistogramMedian_Intensity,0.062370983248619755,5
Post2_Morph_Compactness2,Post2_Morph_Compactness2,0.04985501570378238,3
Post2_Morph_Compactness1,Post2_Morph_Compactness1,0.04342484580052833,3
Post2_Morph_Sphericity,Post2_Morph_Sphericity,0.041220803735378994,2
Post2_GLSZM_GreyLevelVariance,Post2_GLSZM_GreyLevelVariance,0.03510043863953827,3
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.027250752847996926,2
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.025934960505487055,3
Post2_GLSZM_NormalisedZoneSizeNonUniformity,Post2_GLSZM_NormalisedZoneSizeNonUniformity,0.0060583073335064,2
Post2_GLSZM_ZoneSizeVariance,Post2_GLSZM_ZoneSizeVariance,0.005690049214079478,2
Post2_GLSZM_NormalisedGreyLevelNonUniformity,Post2_GLSZM_NormalisedGreyLevelNonUniformity,0.0025934827996523567,2
