Pair_Tag,Dataset_A,Dataset_B,Dataset_A_Path,Dataset_B_Path,Pair_Input_File,Merge_Keys,Merge_Key_Mode,Merge_How,Rows_A,Rows_B,Rows_After_Merge,N_Features_A,N_Features_B,N_Features_Total,Label_Counts,Status,Error,Result_Source,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Mean_Specificity,Pooled_Specificity,Avg_Features,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Composite_Rank_Score,Run_Name,Run_Dir,Run_Status,Final_Status,Result_Error
ADC_Post2,ADC,Post2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,output/all_10_pairwise_concat_datasets/ADC_Post2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,114,117,114,145,145,290,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/ADC_Post2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,SVM_Linear,0.8272747295235334,0.0465499716453926,0.7518750000000001,0.8824926507852652,0.8272119792477228,0.7284542796384903,0.6950000000000001,0.7394260012850717,0.7384615384615385,0.6643939393939394,0.64,8.8,34,4,1.2941176470588236,1.1111111111111112,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/ADC_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,completed,success,
ADC_T2,ADC,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_pairwise_concat_datasets/ADC_T2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,114,117,114,145,145,290,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/ADC_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_RBF,0.7933914561426523,0.0463640931604328,0.733125,0.836040629493851,0.7772572128964146,0.7316799574694313,0.7059375,0.7155560586052945,0.7166666666666667,0.7424242424242424,0.74,11.6,29,5,2.0,1.4444444444444444,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
ADC_Post1,ADC,Post1,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,output/all_10_pairwise_concat_datasets/ADC_Post1_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,114,116,113,145,145,290,"{""0"": 50, ""1"": 63}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/ADC_Post1/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_Linear,0.7927380952380952,0.0451892663237556,0.7726984126984127,0.8474377926664381,0.8404095590668283,0.6842857142857144,0.6630158730158731,0.7252106479083823,0.7175572519083969,0.5933333333333334,0.58,8.4,22,5,1.9090909090909092,1.5555555555555556,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/ADC_Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
Post1_Post2,Post1,Post2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,output/all_10_pairwise_concat_datasets/Post1_Post2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,116,117,116,145,145,290,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Post1_Post2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,SVM_RBF,0.761338313103019,0.1225804877515825,0.7292668269230769,0.8157788672199633,0.7834445204229583,0.6805228758169934,0.6670673076923077,0.6600474035768154,0.7076923076923077,0.6222222222222222,0.6153846153846154,5.6,21,3,1.3333333333333333,1.2222222222222223,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,completed,success,
Post2_T2,Post2,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_pairwise_concat_datasets/Post2_T2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,117,117,117,145,145,290,"{""0"": 52, ""1"": 65}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Post2_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,ExtraTrees,0.7596408529741863,0.0855726711739445,0.7103550295857989,0.817179914921858,0.7757087604983777,0.6830934343434343,0.6673076923076924,0.664061152061152,0.688,0.671111111111111,0.6730769230769231,9.6,26,5,1.8461538461538465,1.3333333333333333,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
Post2_Pre,Post2,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_pairwise_concat_datasets/Post2_Pre_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,117,117,117,145,145,290,"{""0"": 52, ""1"": 65}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Post2_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_RBF,0.7582210998877665,0.1479834539274216,0.7310650887573966,0.8456095310692664,0.816734149410876,0.7005176767676767,0.6730769230769231,0.6997317066282583,0.703125,0.671111111111111,0.6538461538461539,10.4,28,4,1.8571428571428572,1.1111111111111112,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
ADC_Pre,ADC,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_pairwise_concat_datasets/ADC_Pre_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,114,117,114,145,145,290,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/ADC_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_Linear,0.7571619935974003,0.0645553850738406,0.6690625,0.7694451807768414,0.6884476265048114,0.6832594744436851,0.6428125,0.7132807881773399,0.7153284671532847,0.5540043290043289,0.52,12.0,28,5,2.142857142857143,1.3333333333333333,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/ADC_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
Post1_T2,Post1,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_pairwise_concat_datasets/Post1_T2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,116,117,116,145,145,290,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Post1_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,corr_mrmr_auto_k,corr_mrmr,auto,False,ExtraTrees,0.7217156862745098,0.0936615845341422,0.6959134615384617,0.7869331267093982,0.7575756639461875,0.6993930905695611,0.6688701923076923,0.6939499484004127,0.703125,0.6634920634920635,0.6346153846153846,14.8,43,5,1.7209302325581397,1.3333333333333333,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Post1_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,completed,success,
Post1_Pre,Post1,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_pairwise_concat_datasets/Post1_Pre_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,116,117,116,145,145,290,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Post1_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,LogisticRegression,0.6828952692187987,0.1460770255420412,0.6739783653846154,0.7551644231617007,0.7284721833549945,0.6367530345471523,0.6382211538461539,0.6494444444444444,0.6917293233082706,0.5813492063492063,0.5576923076923077,10.4,35,3,1.4857142857142858,1.4444444444444444,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Post1_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
Pre_T2,Pre,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_pairwise_concat_datasets/Pre_T2_M1_pairwise.csv,INFO_NameOfRoi,unique_key,inner,117,117,117,145,145,290,"{""0"": 52, ""1"": 65}",dataset_created,,nested_cv_outputs_all_pairwise_concat_batch/Pre_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,NaiveBayes,0.6651262626262626,0.0481892292544839,0.6325443786982249,0.692787189680582,0.6758627820332497,0.5832323232323232,0.551923076923077,0.6352213868003341,0.6575342465753424,0.4088888888888889,0.3653846153846153,9.6,34,3,1.411764705882353,1.4444444444444444,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch/Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
