Pair_Tag,Run_Status,Executed_Notebook,Error,Started_At,Finished_At
ADC_Post1,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/ADC_Post1__Pairwise_executed.ipynb,,2026-06-29T20:29:09,2026-06-29T20:32:30
ADC_Post2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/ADC_Post2__Pairwise_executed.ipynb,,2026-06-29T20:32:30,2026-06-29T20:35:42
ADC_Pre,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/ADC_Pre__Pairwise_executed.ipynb,,2026-06-29T20:35:42,2026-06-29T20:38:58
ADC_T2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/ADC_T2__Pairwise_executed.ipynb,,2026-06-29T20:38:58,2026-06-29T20:42:31
Post1_Post2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Post1_Post2__Pairwise_executed.ipynb,,2026-06-29T20:42:31,2026-06-29T20:45:38
Post1_Pre,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Post1_Pre__Pairwise_executed.ipynb,,2026-06-29T20:45:38,2026-06-29T20:48:51
Post1_T2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Post1_T2__Pairwise_executed.ipynb,,2026-06-29T20:48:51,2026-06-29T20:52:29
Post2_Pre,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Post2_Pre__Pairwise_executed.ipynb,,2026-06-29T20:52:29,2026-06-29T20:56:05
Post2_T2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Post2_T2__Pairwise_executed.ipynb,,2026-06-29T20:56:05,2026-06-29T20:59:25
Pre_T2,completed,batch_all_10_pairwise_runner_artifacts/executed_pairwise_notebooks/Pre_T2__Pairwise_executed.ipynb,,2026-06-29T20:59:25,2026-06-29T21:02:49
