feature,nan_count,inf_count,bad_value_count
T2_IH_IntensityHistogramKurtosis_Intensity,2,0,2
T2_IH_IntensityHistogramSkewness_Intensity,2,0,2
T2_NGTDM_Coarseness,2,0,2
T2_NGTDM_Contrast,2,0,2
T2_NGTDM_Busyness,2,0,2
T2_Morph_SphericalDisproportion,0,0,0
T2_Morph_Compactness1,0,0,0
T2_Morph_Compacity,0,0,0
T2_Morph_SurfaceToVolumeRatio_cm,0,0,0
T2_Morph_SurfaceArea_cm2,0,0,0
T2_Morph_voxelsCounting_vx,0,0,0
T2_Morph_ApproximateVolume_cm3,0,0,0
T2_Morph_Volume_cm3,0,0,0
Pre_GLSZM_ZoneSizeEntropy,0,0,0
Pre_GLSZM_ZoneSizeVariance,0,0,0
Pre_GLSZM_GreyLevelVariance,0,0,0
Pre_GLSZM_ZonePercentage,0,0,0
Pre_GLSZM_NormalisedZoneSizeNonUniformity,0,0,0
Pre_GLSZM_ZoneSizeNonUniformity,0,0,0
Pre_GLSZM_NormalisedGreyLevelNonUniformity,0,0,0
Pre_GLSZM_GreyLevelNonUniformity,0,0,0
Pre_GLSZM_LargeZoneHighGreyLevelEmphasis,0,0,0
Pre_GLSZM_LargeZoneLowGreyLevelEmphasis,0,0,0
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,0,0,0
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,0,0,0
Pre_GLSZM_HighGrayLevelZoneEmphasis,0,0,0
Pre_GLSZM_LowGrayLevelZoneEmphasis,0,0,0
Pre_GLSZM_LargeZoneEmphasis,0,0,0
Pre_GLSZM_SmallZoneEmphasis,0,0,0
T2_Morph_Compactness2,0,0,0
Post2_Morph_Volume_cm3,0,0,0
T2_Morph_Sphericity,0,0,0
T2_Morph_Asphericity,0,0,0
T2_IB_MeanIntensity,0,0,0
T2_Morph_IntegratedIntensity_Intensity,0,0,0
T2_Morph_SphereDiameter_mm,0,0,0
T2_Morph_Maximum3DDiameter_mm,0,0,0
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0,0,0
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0,0,0
