Metric,Value
ROC-AUC,0.7704761904761904
PR-AUC,0.8224610558316985
Balanced Acc.,0.6912698412698413
Sensitivity,0.6825396825396826
Specificity,0.7
PPV,0.7413793103448276
NPV,0.6363636363636364
Kappa,0.37863315003927733
