,Morph_SurfaceToVolumeRatio_cm,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,GLSZM_LargeZoneEmphasis,GLSZM_LowGrayLevelZoneEmphasis,IB_StandardDeviation,IH_IntensityHistogramStd_Intensity,IB_MedianIntensity,IH_IntensityHistogramMedian_Intensity
Morph_SurfaceToVolumeRatio_cm,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.15559862213964823,0.24064364967071006,0.36864604998179334,0.37112963123398635,-0.03851069362587355,-0.026739714920921226
Morph_Compacity,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.15559862213964823,-0.24064364967071006,-0.36864604998179334,-0.37112963123398635,0.03851069362587355,0.026739714920921226
Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.15559862213964823,-0.24064364967071006,-0.36864604998179334,-0.37112963123398635,0.03851069362587355,0.026739714920921226
Morph_Compactness2,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.15559862213964823,0.24064364967071006,0.36864604998179334,0.37112963123398635,-0.03851069362587355,-0.026739714920921226
Morph_SphericalDisproportion,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.15559862213964823,-0.24064364967071006,-0.36864604998179334,-0.37112963123398635,0.03851069362587355,0.026739714920921226
Morph_Sphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.15559862213964823,0.24064364967071006,0.36864604998179334,0.37112963123398635,-0.03851069362587355,-0.026739714920921226
GLSZM_LargeZoneEmphasis,-0.15559862213964823,0.15559862213964823,0.15559862213964823,-0.15559862213964823,0.15559862213964823,-0.15559862213964823,1.0,-0.9302643942584973,-0.763413162260264,-0.7622492599917766,-0.8517622638891522,-0.8620931762883307
GLSZM_LowGrayLevelZoneEmphasis,0.24064364967071006,-0.24064364967071006,-0.24064364967071006,0.24064364967071006,-0.24064364967071006,0.24064364967071006,-0.9302643942584973,1.0,0.9038812813203178,0.9039880667690074,0.7029644972648775,0.698139912920638
IB_StandardDeviation,0.36864604998179334,-0.36864604998179334,-0.36864604998179334,0.36864604998179334,-0.36864604998179334,0.36864604998179334,-0.763413162260264,0.9038812813203178,1.0,0.999550327812578,0.4201509471082564,0.42086869636417723
IH_IntensityHistogramStd_Intensity,0.37112963123398635,-0.37112963123398635,-0.37112963123398635,0.37112963123398635,-0.37112963123398635,0.37112963123398635,-0.7622492599917766,0.9039880667690074,0.999550327812578,1.0,0.41782962288932357,0.4190420840018245
IB_MedianIntensity,-0.03851069362587355,0.03851069362587355,0.03851069362587355,-0.03851069362587355,0.03851069362587355,-0.03851069362587355,-0.8517622638891522,0.7029644972648775,0.4201509471082564,0.41782962288932357,1.0,0.9821143063352272
IH_IntensityHistogramMedian_Intensity,-0.026739714920921226,0.026739714920921226,0.026739714920921226,-0.026739714920921226,0.026739714920921226,-0.026739714920921226,-0.8620931762883307,0.698139912920638,0.42086869636417723,0.4190420840018245,0.9821143063352272,1.0
