Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features
ADC_Post1_Post2_Pre,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,SVM_RBF,0.812,0.035,0.765,0.849,0.824,0.7,0.685,0.751,0.75,7.6,21
ADC_Post1_Post2_Pre,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,SVM_RBF,0.806,0.044,0.781,0.833,0.808,0.73,0.731,0.759,0.762,7.6,21
ADC_Post1_Post2_Pre,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,LogisticRegression,0.775,0.051,0.754,0.828,0.806,0.667,0.655,0.706,0.708,10.0,41
ADC_Post1_Post2_Pre,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,NaiveBayes,0.772,0.072,0.67,0.772,0.689,0.64,0.629,0.677,0.682,10.0,41
ADC_Post1_Post2_Pre,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,LogisticRegression,0.709,0.081,0.703,0.759,0.718,0.658,0.631,0.681,0.677,9.6,38
ADC_Post1_Post2_Pre,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,LogisticRegression,0.705,0.075,0.7,0.757,0.727,0.655,0.629,0.683,0.682,9.6,38
