Feature,Selection_Count,Selection_Frequency,Family
ADC_IH_IntensityHistogramMedian_Intensity,4,0.8,Histogram
Post1_Morph_Compactness1,3,0.6,Morphology
Post2_GLCM_InverseVariance,3,0.6,GLCM
Post1_Morph_Sphericity,3,0.6,Morphology
ADC_IB_MedianIntensity,3,0.6,Intensity
Post2_IH_IntensityHistogramMode_Intensity,3,0.6,Histogram
Post2_GLCM_Correlation,3,0.6,GLCM
Post1_GLSZM_LargeZoneEmphasis,2,0.4,GLSZM
ADC_GLSZM_GreyLevelVariance,2,0.4,GLSZM
Pre_GLSZM_HighGrayLevelZoneEmphasis,1,0.2,GLSZM
Post2_GLCM_AngularSecondMoment,1,0.2,GLCM
Pre_GLSZM_GreyLevelVariance,1,0.2,GLSZM
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,Morphology
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
Post1_IH_IntensityHistogramMode_Intensity,1,0.2,Histogram
Pre_NGTDM_Complexity,1,0.2,NGTDM
Post2_GLSZM_HighGrayLevelZoneEmphasis,1,0.2,GLSZM
Post1_Morph_Compactness2,1,0.2,Morphology
Post1_GLCM_InverseDifferenceMoment,1,0.2,GLCM
Pre_GLCM_ClusterProminence,1,0.2,GLCM
Post2_Morph_Sphericity,1,0.2,Morphology
