Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.753 ± 0.076,0.795 ± 0.085,0.692 ± 0.092,0.682 ± 0.077,0.734 ± 0.068,0.688 ± 0.155,0.698 ± 0.075,0.676 ± 0.205,7.600 ± 5.899
ExtraTrees,0.729 ± 0.121,0.808 ± 0.032,0.693 ± 0.137,0.694 ± 0.141,0.736 ± 0.079,0.713 ± 0.225,0.707 ± 0.131,0.676 ± 0.205,7.600 ± 5.899
KNN,0.708 ± 0.072,0.746 ± 0.124,0.606 ± 0.063,0.618 ± 0.103,0.623 ± 0.106,0.731 ± 0.196,0.652 ± 0.048,0.504 ± 0.161,7.600 ± 5.899
NaiveBayes,0.698 ± 0.145,0.752 ± 0.089,0.667 ± 0.172,0.620 ± 0.193,0.648 ± 0.122,0.939 ± 0.086,0.762 ± 0.100,0.302 ± 0.360,7.600 ± 5.899
LightGBM,0.693 ± 0.109,0.746 ± 0.085,0.630 ± 0.048,0.633 ± 0.043,0.666 ± 0.114,0.634 ± 0.172,0.628 ± 0.085,0.631 ± 0.168,7.600 ± 5.899
GradientBoosting,0.683 ± 0.111,0.708 ± 0.109,0.593 ± 0.147,0.589 ± 0.114,0.599 ± 0.199,0.811 ± 0.066,0.672 ± 0.145,0.367 ± 0.266,7.600 ± 5.899
XGBoost,0.659 ± 0.074,0.753 ± 0.127,0.593 ± 0.106,0.599 ± 0.077,0.611 ± 0.190,0.713 ± 0.152,0.636 ± 0.132,0.484 ± 0.182,7.600 ± 5.899
RandomForest,0.656 ± 0.096,0.717 ± 0.147,0.607 ± 0.093,0.626 ± 0.051,0.652 ± 0.190,0.665 ± 0.164,0.627 ± 0.123,0.587 ± 0.201,7.600 ± 5.899
SVM_RBF,0.654 ± 0.279,0.780 ± 0.164,0.558 ± 0.150,0.542 ± 0.044,0.561 ± 0.147,0.872 ± 0.200,0.661 ± 0.141,0.213 ± 0.252,7.600 ± 5.899
SVM_Linear,0.589 ± 0.286,0.699 ± 0.130,0.531 ± 0.138,0.500 ± 0.000,0.531 ± 0.138,1.000 ± 0.000,0.685 ± 0.128,0.000 ± 0.000,7.600 ± 5.899
