,LogisticRegression,ExtraTrees,KNN,NaiveBayes,LightGBM,GradientBoosting,XGBoost,RandomForest,SVM_RBF,SVM_Linear
LogisticRegression,1.0,0.36871184320427797,0.41090870332697227,0.20548594978831614,0.12250266616767078,0.1001682545591024,0.09395308333132453,0.20089681351511268,0.0052243320413542975,7.488333908080096e-05
ExtraTrees,0.36871184320427797,1.0,0.9689462570733147,0.6404572644843014,0.3388758788597218,0.45629767874361493,0.23809753910696363,0.5449895546831917,0.10654349119218409,0.0005937958174472057
KNN,0.41090870332697227,0.9689462570733147,1.0,0.6156020019839767,0.4368737110732549,0.5368362743511605,0.34277722664912025,0.6735491651725013,0.05660523184676517,0.00047154732859886573
NaiveBayes,0.20548594978831614,0.6404572644843014,0.6156020019839767,1.0,0.9729837716194832,0.9654548503413274,0.8840765736810474,0.8264140220330506,0.2770228506379393,0.007348388157443793
LightGBM,0.12250266616767078,0.3388758788597218,0.4368737110732549,0.9729837716194832,1.0,0.910661446288464,0.8184058802785653,0.6529813812047972,0.2289128197475886,0.0033326763561409138
GradientBoosting,0.1001682545591024,0.45629767874361493,0.5368362743511605,0.9654548503413274,0.910661446288464,1.0,0.7443585629483551,0.7412348751828726,0.1945965702132071,0.000664193983183769
XGBoost,0.09395308333132453,0.23809753910696363,0.34277722664912025,0.8840765736810474,0.8184058802785653,0.7443585629483551,1.0,0.4163724857316422,0.2632376514173628,0.0019458220578203813
RandomForest,0.20089681351511268,0.5449895546831917,0.6735491651725013,0.8264140220330506,0.6529813812047972,0.7412348751828726,0.4163724857316422,1.0,0.11325872963899962,0.0011204470073535927
SVM_RBF,0.0052243320413542975,0.10654349119218409,0.05660523184676517,0.2770228506379393,0.2289128197475886,0.1945965702132071,0.2632376514173628,0.11325872963899962,1.0,0.019457645308805612
SVM_Linear,7.488333908080096e-05,0.0005937958174472057,0.00047154732859886573,0.007348388157443793,0.0033326763561409138,0.000664193983183769,0.0019458220578203813,0.0011204470073535927,0.019457645308805612,1.0
