Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.726 ± 0.128,0.786 ± 0.091,0.669 ± 0.083,0.702 ± 0.074,0.743 ± 0.157,0.701 ± 0.199,0.691 ± 0.071,0.702 ± 0.189,16.800 ± 2.683
SVM_Linear,0.720 ± 0.124,0.771 ± 0.100,0.642 ± 0.032,0.675 ± 0.047,0.704 ± 0.181,0.734 ± 0.190,0.683 ± 0.038,0.616 ± 0.224,16.800 ± 2.683
ExtraTrees,0.706 ± 0.130,0.752 ± 0.107,0.654 ± 0.091,0.687 ± 0.064,0.737 ± 0.161,0.671 ± 0.203,0.668 ± 0.095,0.702 ± 0.169,16.800 ± 2.683
SVM_RBF,0.703 ± 0.077,0.728 ± 0.111,0.651 ± 0.058,0.675 ± 0.033,0.701 ± 0.139,0.728 ± 0.179,0.688 ± 0.056,0.622 ± 0.162,16.800 ± 2.683
RandomForest,0.691 ± 0.100,0.694 ± 0.107,0.672 ± 0.106,0.689 ± 0.091,0.733 ± 0.099,0.695 ± 0.247,0.685 ± 0.112,0.682 ± 0.157,16.800 ± 2.683
KNN,0.684 ± 0.035,0.708 ± 0.103,0.633 ± 0.055,0.637 ± 0.056,0.666 ± 0.147,0.764 ± 0.197,0.684 ± 0.074,0.511 ± 0.246,16.800 ± 2.683
GradientBoosting,0.682 ± 0.154,0.750 ± 0.102,0.574 ± 0.060,0.598 ± 0.065,0.634 ± 0.142,0.711 ± 0.247,0.630 ± 0.079,0.484 ± 0.224,16.800 ± 2.683
LightGBM,0.676 ± 0.102,0.701 ± 0.111,0.662 ± 0.082,0.696 ± 0.069,0.739 ± 0.175,0.684 ± 0.210,0.677 ± 0.092,0.709 ± 0.181,16.800 ± 2.683
XGBoost,0.675 ± 0.106,0.692 ± 0.124,0.611 ± 0.115,0.642 ± 0.084,0.677 ± 0.127,0.703 ± 0.248,0.648 ± 0.118,0.581 ± 0.195,16.800 ± 2.683
NaiveBayes,0.668 ± 0.128,0.758 ± 0.102,0.561 ± 0.139,0.555 ± 0.151,0.606 ± 0.171,0.775 ± 0.138,0.660 ± 0.093,0.335 ± 0.331,16.800 ± 2.683
