Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
NaiveBayes,0.6680,+0.0584,2.12e-02,9.52e-01,✓,✗
XGBoost,0.6748,+0.0516,1.38e-01,1.00e+00,✗,✗
LightGBM,0.6760,+0.0505,2.53e-01,1.00e+00,✗,✗
GradientBoosting,0.6824,+0.0440,1.30e-02,5.86e-01,✓,✗
KNN,0.6838,+0.0427,4.19e-01,1.00e+00,✗,✗
RandomForest,0.6915,+0.0350,5.96e-01,1.00e+00,✗,✗
SVM_RBF,0.7032,+0.0233,7.27e-03,3.27e-01,✓,✗
ExtraTrees,0.7057,+0.0208,2.86e-01,1.00e+00,✗,✗
SVM_Linear,0.7201,+0.0064,1.14e-02,5.14e-01,✓,✗
