,LogisticRegression,SVM_Linear,ExtraTrees,SVM_RBF,RandomForest,KNN,GradientBoosting,LightGBM,XGBoost,NaiveBayes
LogisticRegression,0.0,2.5295243960317566,1.0658796539220126,2.684192874828404,0.5306023444781897,0.8088895214296798,2.482959626482244,1.1431307714815828,1.4838384507491171,2.305183853593051
SVM_Linear,-2.5295243960317566,0.0,-0.6433650107674163,0.34984480502787124,-0.9792683453238814,-0.847970949364371,1.0379835733259681,-0.1303296724127024,0.265608251118975,1.230501830884487
ExtraTrees,-1.0658796539220126,0.6433650107674163,0.0,0.8026551041662289,-0.5890853014160096,-0.2358501832142691,1.661732813684619,0.3483916085350994,0.7550645490333441,1.508969383423604
SVM_RBF,-2.684192874828404,-0.34984480502787124,-0.8026551041662289,0.0,-1.2662754130379397,-1.1312592071345566,0.814075189940354,-0.30087534563678064,0.10423767150378231,1.1095834232661537
RandomForest,-0.5306023444781897,0.9792683453238814,0.5890853014160096,1.2662754130379397,0.0,0.2130765564936699,2.0923535344945337,0.775066258673036,1.1361989852812882,1.6979659722561158
KNN,-0.8088895214296798,0.847970949364371,0.2358501832142691,1.1312592071345566,-0.2130765564936699,0.0,1.5254575324610067,0.4909999779018534,0.7992337871749903,1.7084293109025528
GradientBoosting,-2.482959626482244,-1.0379835733259681,-1.661732813684619,-0.814075189940354,-2.0923535344945337,-1.5254575324610067,0.0,-1.2287956203943124,-0.736036615153192,0.4235624021624695
LightGBM,-1.1431307714815828,0.1303296724127024,-0.3483916085350994,0.30087534563678064,-0.775066258673036,-0.4909999779018534,1.2287956203943124,0.0,0.5754278648001918,1.001616257772735
XGBoost,-1.4838384507491171,-0.265608251118975,-0.7550645490333441,-0.10423767150378231,-1.1361989852812882,-0.7992337871749903,0.736036615153192,-0.5754278648001918,0.0,0.6803696379803363
NaiveBayes,-2.305183853593051,-1.230501830884487,-1.508969383423604,-1.1095834232661537,-1.6979659722561158,-1.7084293109025528,-0.4235624021624695,-1.001616257772735,-0.6803696379803363,0.0
