,LogisticRegression,SVM_Linear,ExtraTrees,SVM_RBF,RandomForest,KNN,GradientBoosting,LightGBM,XGBoost,NaiveBayes
LogisticRegression,1.0,0.011421723333490317,0.28647804746700933,0.007270514913413954,0.5956943706946043,0.4185786967435995,0.013029585430699984,0.25298429993251514,0.13785178365907086,0.021156278768357344
SVM_Linear,0.011421723333490317,1.0,0.5199872814771471,0.7264551716419596,0.327447406769133,0.3964541496548124,0.2992777027611886,0.8963056050844771,0.790540930324472,0.21850924181363574
ExtraTrees,0.28647804746700933,0.5199872814771471,1.0,0.42217410908047204,0.5558040530027251,0.8135489258007857,0.0965663587172234,0.7275461036856808,0.4502102529004174,0.13130660707228817
SVM_RBF,0.007270514913413954,0.7264551716419596,0.42217410908047204,1.0,0.20541449635614284,0.2579460084331583,0.4156018779155486,0.7635095510485366,0.9169807392555552,0.2671785777039817
RandomForest,0.5956943706946043,0.327447406769133,0.5558040530027251,0.20541449635614284,1.0,0.8312672499697952,0.036406902082289215,0.4383005081609207,0.25587329512406787,0.08951418436176167
KNN,0.4185786967435995,0.3964541496548124,0.8135489258007857,0.2579460084331583,0.8312672499697952,1.0,0.1271450182121724,0.6234264631809551,0.4241548639753644,0.0875567124388994
GradientBoosting,0.013029585430699984,0.2992777027611886,0.0965663587172234,0.4156018779155486,0.036406902082289215,0.1271450182121724,1.0,0.21914844400194222,0.4617084151166432,0.6718849800402815
LightGBM,0.25298429993251514,0.8963056050844771,0.7275461036856808,0.7635095510485366,0.4383005081609207,0.6234264631809551,0.21914844400194222,1.0,0.5650019633889435,0.3165289658315896
XGBoost,0.13785178365907086,0.790540930324472,0.4502102529004174,0.9169807392555552,0.25587329512406787,0.4241548639753644,0.4617084151166432,0.5650019633889435,1.0,0.49627044079863725
NaiveBayes,0.021156278768357344,0.21850924181363574,0.13130660707228817,0.2671785777039817,0.08951418436176167,0.0875567124388994,0.6718849800402815,0.3165289658315896,0.49627044079863725,1.0
