feature,nan_count,inf_count,variance,is_constant,is_near_zero_variance
IH_Uniformity_Intensity,0,0,0.009649671012614545,False,False
IH_RootMeanSquare_Intensity,0,0,0.00012541472946735354,False,False
IH_MaximumHistogramGradient_Intensity,0,0,103544.06600189934,False,False
IH_MaximumHistogramGradientGreyLevel_Intensity,0,0,80.0580027759515,False,False
IH_MinimumHistogramGradient_Intensity,0,0,82541.39119000659,False,False
IH_MinimumHistogramGradientGreyLevel_Intensity,0,0,122.81934399883116,False,False
GLCM_JointMaximum,0,0,0.011586226626199354,False,False
GLCM_JointAverage,0,0,58.77431051127728,False,False
GLCM_JointVariance,0,0,2220.7527177576358,False,False
GLCM_JointEntropyLog2,0,0,2.9453794863877656,False,False
GLCM_JointEntropyLog10,0,0,0.2669075153500805,False,False
GLCM_DifferenceAverage,0,0,6.0912277238753,False,False
GLCM_DifferenceVariance,0,0,210.34877631932275,False,False
GLCM_DifferenceEntropy,0,0,4.70941923714887,False,False
GLCM_SumAverage,0,0,235.09724202594427,False,False
GLCM_SumVariance,0,0,21473.19441532362,False,False
GLCM_SumEntropy,0,0,3.3456387341805907,False,False
GLCM_AngularSecondMoment,0,0,0.004938950081166717,False,False
GLCM_Contrast,0,0,1980.3137040227741,False,False
GLCM_Dissimilarity,0,0,6.0912277238753,False,False
GLCM_InverseDifference,0,0,0.0195315370771678,False,False
GLCM_NormalisedInverseDifference,0,0,0.000982979671255686,False,False
GLCM_InverseDifferenceMoment,0,0,0.024601371226914165,False,False
GLCM_NormalisedInverseDifferenceMoment,0,0,0.0002594023922653971,False,False
GLCM_InverseVariance,0,0,0.008940127723041296,False,False
GLCM_Correlation,0,0,0.01328552716389009,False,False
GLCM_Autocorrelation,0,0,83801.69373309426,False,False
GLCM_ClusterTendency,0,0,21473.19441532362,False,False
GLCM_ClusterShade,0,0,3128190.4472479243,False,False
GLCM_ClusterProminence,0,0,29007808157.55381,False,False
GLRLM_ShortRunsEmphasis,0,0,0.005770410540636352,False,False
GLRLM_LongRunsEmphasis,0,0,1.4045997541533544,False,False
GLRLM_LowGreyLevelRunEmphasis,0,0,0.012889357677696868,False,False
GLRLM_HighGreyLevelRunEmphasis,0,0,71852.77457774305,False,False
GLRLM_ShortRunLowGreyLevelEmphasis,0,0,0.004092519604905785,False,False
GLRLM_ShortRunHighGreyLevelEmphasis,0,0,64098.73349209931,False,False
GLRLM_LongRunLowGreyLevelEmphasis,0,0,0.9872519646470946,False,False
GLRLM_LongRunHighGreyLevelEmphasis,0,0,112651.65873081848,False,False
GLRLM_GreyLevelNonUniformity,0,0,417643.6701432378,False,False
GLRLM_RunLengthNonUniformity,0,0,90842822.49427097,False,False
GLRLM_RunPercentage,0,0,0.009329396135443924,False,False
GLRLM_GreyLevelVariance,0,0,2397.5818545028355,False,False
GLRLM_RunLengthVariance,0,0,0.2487593733146169,False,False
GLRLM_RunEntropy,0,0,0.3659673112066238,False,False
NGTDM_Coarseness,0,0,0.00040376419623061274,False,False
NGTDM_Contrast,0,0,0.1129996761777107,False,False
NGTDM_Busyness,0,0,88.12664596062882,False,False
NGTDM_Complexity,0,0,2579455.3186711944,False,False
NGTDM_Strength,0,0,88.81445418008533,False,False
GLSZM_SmallZoneEmphasis,0,0,0.011453001536687555,False,False
GLSZM_LargeZoneEmphasis,0,0,38455130.79636608,False,False
GLSZM_LowGrayLevelZoneEmphasis,0,0,0.002829369425843107,False,False
GLSZM_HighGrayLevelZoneEmphasis,0,0,54941.232701290544,False,False
GLSZM_SmallZoneLowGreyLevelEmphasis,0,0,0.00010699948268220364,False,False
GLSZM_SmallZoneHighGreyLevelEmphasis,0,0,14441.21954476095,False,False
GLSZM_LargeZoneLowGreyLevelEmphasis,0,0,10638626.86821718,False,False
GLSZM_LargeZoneHighGreyLevelEmphasis,0,0,750435252415.3904,False,False
GLSZM_GreyLevelNonUniformity,0,0,5720.424354966825,False,False
GLSZM_NormalisedGreyLevelNonUniformity,0,0,0.006126516190734321,False,False
GLSZM_ZoneSizeNonUniformity,0,0,165209.07375357943,False,False
GLSZM_NormalisedZoneSizeNonUniformity,0,0,0.004334164727285885,False,False
GLSZM_ZonePercentage,0,0,0.0224852297286319,False,False
GLSZM_GreyLevelVariance,0,0,2174.942703189544,False,False
GLSZM_ZoneSizeVariance,0,0,33996972.67095825,False,False
GLSZM_ZoneSizeEntropy,0,0,0.8515529601049794,False,False
