Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.752 ± 0.207,0.835 ± 0.149,0.568 ± 0.161,0.598 ± 0.092,0.587 ± 0.190,0.771 ± 0.206,0.632 ± 0.153,0.425 ± 0.206,15.200 ± 2.683
SVM_Linear,0.731 ± 0.168,0.754 ± 0.151,0.601 ± 0.109,0.620 ± 0.090,0.596 ± 0.164,0.779 ± 0.190,0.651 ± 0.127,0.461 ± 0.087,15.200 ± 2.683
KNN,0.727 ± 0.198,0.807 ± 0.146,0.595 ± 0.085,0.599 ± 0.065,0.581 ± 0.145,0.818 ± 0.198,0.655 ± 0.126,0.380 ± 0.143,15.200 ± 2.683
LogisticRegression,0.717 ± 0.175,0.738 ± 0.173,0.628 ± 0.166,0.648 ± 0.178,0.629 ± 0.177,0.712 ± 0.246,0.645 ± 0.159,0.585 ± 0.144,15.200 ± 2.683
RandomForest,0.691 ± 0.094,0.757 ± 0.055,0.623 ± 0.077,0.627 ± 0.066,0.631 ± 0.169,0.637 ± 0.157,0.615 ± 0.140,0.617 ± 0.082,15.200 ± 2.683
ExtraTrees,0.688 ± 0.114,0.760 ± 0.106,0.597 ± 0.067,0.621 ± 0.078,0.606 ± 0.140,0.700 ± 0.222,0.620 ± 0.103,0.542 ± 0.071,15.200 ± 2.683
GradientBoosting,0.681 ± 0.120,0.704 ± 0.176,0.597 ± 0.137,0.624 ± 0.122,0.607 ± 0.188,0.712 ± 0.224,0.624 ± 0.149,0.537 ± 0.151,15.200 ± 2.683
XGBoost,0.680 ± 0.066,0.696 ± 0.166,0.591 ± 0.093,0.620 ± 0.071,0.610 ± 0.173,0.712 ± 0.224,0.620 ± 0.123,0.528 ± 0.150,15.200 ± 2.683
NaiveBayes,0.674 ± 0.147,0.711 ± 0.114,0.588 ± 0.068,0.585 ± 0.085,0.568 ± 0.124,0.806 ± 0.190,0.649 ± 0.111,0.365 ± 0.111,15.200 ± 2.683
LightGBM,0.650 ± 0.096,0.667 ± 0.194,0.571 ± 0.103,0.583 ± 0.067,0.590 ± 0.198,0.642 ± 0.113,0.593 ± 0.149,0.525 ± 0.123,15.200 ± 2.683
