,SVM_RBF,SVM_Linear,KNN,LogisticRegression,RandomForest,ExtraTrees,GradientBoosting,XGBoost,NaiveBayes,LightGBM
SVM_RBF,1.0,0.1415852726971526,0.6756438191331442,0.19771736839129872,0.5293971603857637,0.7609432896528354,0.9766129564797046,0.7689159153098547,0.7140577624716982,0.909024411948957
SVM_Linear,0.1415852726971526,1.0,0.5644422033373385,0.8073371422033209,0.8074769262695362,0.5167717851221327,0.36716839375712274,0.6746841254296051,0.14579756587232104,0.40297740105151125
KNN,0.6756438191331442,0.5644422033373385,1.0,0.6130844886951847,0.7554891106841046,0.9603293811488386,0.7192561689632222,0.9754020792330542,0.4907778284024633,0.7061918084898764
LogisticRegression,0.19771736839129872,0.8073371422033209,0.6130844886951847,1.0,0.8592031525534307,0.5781118810280539,0.4029018490758387,0.7145542929348436,0.1539874540475806,0.4343497398640537
RandomForest,0.5293971603857637,0.8074769262695362,0.7554891106841046,0.8592031525534307,1.0,0.6843597719761939,0.45611815759334984,0.7982063883546433,0.34951746194719335,0.4057504238529618
ExtraTrees,0.7609432896528354,0.5167717851221327,0.9603293811488386,0.5781118810280539,0.6843597719761939,1.0,0.7119207248306803,0.9352318195243766,0.5103082551174812,0.6738428673000988
GradientBoosting,0.9766129564797046,0.36716839375712274,0.7192561689632222,0.4029018490758387,0.45611815759334984,0.7119207248306803,1.0,0.5814492609456321,0.7751952102965779,0.8956442173850343
XGBoost,0.7689159153098547,0.6746841254296051,0.9754020792330542,0.7145542929348436,0.7982063883546433,0.9352318195243766,0.5814492609456321,1.0,0.5664347122274698,0.3901371769081654
NaiveBayes,0.7140577624716982,0.14579756587232104,0.4907778284024633,0.1539874540475806,0.34951746194719335,0.5103082551174812,0.7751952102965779,0.5664347122274698,1.0,0.8882792674219863
LightGBM,0.909024411948957,0.40297740105151125,0.7061918084898764,0.4343497398640537,0.4057504238529618,0.6738428673000988,0.8956442173850343,0.3901371769081654,0.8882792674219863,1.0
