Feature_Name,Selection_Count,Selection_Frequency
Post2_Morph_Compactness1,4,0.8
Pre_IB_IntensityBasedCoefficientOfVariation,4,0.8
Post2_IH_IntensityHistogramMode_Intensity,4,0.8
Pre_IB_TotalLesionGlycolysis,3,0.6
Pre_Morph_Compactness1,3,0.6
Post2_Morph_Sphericity,2,0.4
Pre_IB_StandardDeviation,2,0.4
Post2_GLRLM_HighGreyLevelRunEmphasis,2,0.4
Pre_GLCM_ClusterProminence,2,0.4
Post2_Morph_Volume_cm3,2,0.4
Post2_GLCM_Autocorrelation,2,0.4
Post2_Morph_Compactness2,2,0.4
Pre_IH_IntensityHistogramVariance_Intensity,2,0.4
Pre_Morph_Compactness2,2,0.4
Post2_GLRLM_ShortRunHighGreyLevelEmphasis,2,0.4
Pre_IB_IntensityBasedQuartileCoefficientOfDispersion,2,0.4
Pre_IB_MaximumIntensity,1,0.2
Pre_IH_IntensityHistogramMode_Intensity,1,0.2
Pre_IH_IntensityHistogramStd_Intensity,1,0.2
Pre_GLSZM_GreyLevelVariance,1,0.2
Pre_IB_IntensityBasedMedianAbsoluteDeviation,1,0.2
Pre_IB_IntensityBasedEnergy,1,0.2
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
Post2_IB_IntensityRange,1,0.2
Post2_GLSZM_ZonePercentage,1,0.2
Post2_GLSZM_SmallZoneHighGreyLevelEmphasis,1,0.2
Post2_GLSZM_HighGrayLevelZoneEmphasis,1,0.2
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2
