Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.793 ± 0.056,0.831 ± 0.090,0.677 ± 0.070,0.714 ± 0.049,0.778 ± 0.176,0.659 ± 0.180,0.683 ± 0.067,0.769 ± 0.199,14.400 ± 5.367
SVM_RBF,0.766 ± 0.093,0.800 ± 0.115,0.618 ± 0.101,0.646 ± 0.099,0.698 ± 0.190,0.631 ± 0.216,0.630 ± 0.118,0.661 ± 0.196,14.400 ± 5.367
SVM_Linear,0.757 ± 0.091,0.804 ± 0.115,0.589 ± 0.090,0.619 ± 0.106,0.665 ± 0.208,0.628 ± 0.206,0.613 ± 0.105,0.609 ± 0.219,14.400 ± 5.367
KNN,0.731 ± 0.138,0.782 ± 0.137,0.649 ± 0.084,0.678 ± 0.098,0.720 ± 0.195,0.629 ± 0.208,0.648 ± 0.129,0.727 ± 0.164,14.400 ± 5.367
RandomForest,0.710 ± 0.159,0.756 ± 0.193,0.608 ± 0.121,0.628 ± 0.126,0.677 ± 0.219,0.638 ± 0.241,0.623 ± 0.156,0.619 ± 0.235,14.400 ± 5.367
XGBoost,0.707 ± 0.144,0.732 ± 0.176,0.606 ± 0.114,0.633 ± 0.121,0.677 ± 0.220,0.655 ± 0.199,0.635 ± 0.127,0.611 ± 0.232,14.400 ± 5.367
GradientBoosting,0.694 ± 0.185,0.743 ± 0.201,0.580 ± 0.109,0.602 ± 0.136,0.643 ± 0.239,0.619 ± 0.253,0.598 ± 0.165,0.584 ± 0.241,14.400 ± 5.367
NaiveBayes,0.690 ± 0.113,0.754 ± 0.172,0.552 ± 0.143,0.601 ± 0.160,0.676 ± 0.260,0.710 ± 0.220,0.629 ± 0.073,0.492 ± 0.474,14.400 ± 5.367
ExtraTrees,0.689 ± 0.127,0.764 ± 0.121,0.607 ± 0.119,0.631 ± 0.137,0.674 ± 0.214,0.619 ± 0.216,0.621 ± 0.140,0.642 ± 0.211,14.400 ± 5.367
LightGBM,0.686 ± 0.170,0.725 ± 0.207,0.581 ± 0.111,0.610 ± 0.122,0.663 ± 0.231,0.610 ± 0.222,0.600 ± 0.140,0.611 ± 0.232,14.400 ± 5.367
