Feature,NaN_Count,Inf_Count
IB_IntensityBasedCoefficientOfVariation,2,0
IH_IntensityHistogramVariance_Intensity,2,0
IH_IntensityHistogramSkewness_Intensity,2,0
GLRLM_RunEntropy,2,0
NGTDM_Coarseness,2,0
NGTDM_Contrast,2,0
