fold,n_estimators,max_depth,min_samples_leaf,max_features
1,100,2,6,sqrt
2,100,2,6,sqrt
3,100,2,6,sqrt
4,350,9,4,log2
5,300,4,10,sqrt
6,100,2,6,sqrt
7,450,4,10,sqrt
8,100,2,6,sqrt
9,100,5,2,log2
10,100,5,2,log2
11,100,5,2,log2
12,100,2,6,sqrt
13,450,4,10,sqrt
14,100,2,6,sqrt
15,350,9,4,log2
