fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.8181818181818181,0.7764498128134493,0.8636363636363636,0.8636363636363636,0.88,0.7857142857142857,1.0,8
2,0.7833333333333333,0.8456542153523579,0.8260869565217391,0.75,0.8823529411764706,0.7894736842105263,1.0,8
3,0.6296296296296297,0.5181216931216931,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,8
4,0.7218045112781956,0.8834557941422929,0.4230769230769231,0.5601503759398496,0.4,0.8333333333333334,0.2631578947368421,8
5,0.6250000000000001,0.6384523809523809,0.6363636363636364,0.625,0.5555555555555556,0.625,0.5,8
6,0.5588235294117647,0.5125050875050874,0.4827586206896552,0.5220588235294118,0.5454545454545454,0.42857142857142855,0.75,8
7,0.5865384615384616,0.7802369582733955,0.5238095238095238,0.6153846153846154,0.375,1.0,0.23076923076923078,8
8,0.625,0.7388298655786079,0.68,0.6284722222222222,0.7647058823529411,0.7222222222222222,0.8125,8
9,0.4814814814814815,0.7270222032988207,0.4,0.5079365079365079,0.35714285714285715,0.7142857142857143,0.23809523809523808,8
10,0.7142857142857143,0.41666666666666663,0.7777777777777778,0.8571428571428572,0.6666666666666666,0.5,1.0,8
11,0.6741071428571428,0.6934916712861282,0.6666666666666666,0.6741071428571428,0.6428571428571429,0.75,0.5625,8
12,0.5476190476190476,0.6759647570526969,0.7419354838709677,0.6785714285714286,0.8181818181818182,0.782608695652174,0.8571428571428571,8
13,0.875,0.9811507936507938,0.7857142857142857,0.6666666666666667,0.8695652173913043,0.9090909090909091,0.8333333333333334,8
14,0.24285714285714283,0.23921127891716126,0.6363636363636364,0.4666666666666667,0.0,0.0,0.0,8
15,0.638888888888889,0.5751945970695971,0.5294117647058824,0.5416666666666666,0.6,0.5,0.75,8
