,NaiveBayes,LogisticRegression,SVM_Linear,ExtraTrees,GradientBoosting,RandomForest,XGBoost,SVM_RBF,KNN,LightGBM
NaiveBayes,0.0,0.5841932105278594,1.5901104482602417,1.7046435836615808,1.5401000120918293,1.3215676735415487,1.2480751874216034,2.111438083339458,1.608402144011324,2.1041810238915963
LogisticRegression,-0.5841932105278594,0.0,1.6554166662057128,1.577007530811487,1.2347477776998361,0.9857107372277906,0.8933043601179351,1.8514365177248473,1.3577027977471603,1.8155098521745205
SVM_Linear,-1.5901104482602417,-1.6554166662057128,0.0,0.5074492823241245,0.3844360050502659,0.1193276428935464,0.014702706013950795,1.0419772029700691,0.5666168199352046,1.0524224090085248
ExtraTrees,-1.7046435836615808,-1.577007530811487,-0.5074492823241245,0.0,-0.017787626308357184,-0.2636938575332763,-0.3633484602200681,0.5405147352089629,0.19102124897651993,0.8437283652413575
GradientBoosting,-1.5401000120918293,-1.2347477776998361,-0.3844360050502659,0.017787626308357184,0.0,-0.28249992886593794,-0.4016562209473227,0.5736822900931501,0.1871857584966864,0.8919820812435302
RandomForest,-1.3215676735415487,-0.9857107372277906,-0.1193276428935464,0.2636938575332763,0.28249992886593794,0.0,-0.15196370516577862,0.8044682614647245,0.42871491002420015,1.29031074318265
XGBoost,-1.2480751874216034,-0.8933043601179351,-0.014702706013950795,0.3633484602200681,0.4016562209473227,0.15196370516577862,0.0,0.8560076445649542,0.5134253954422825,1.76852850559106
SVM_RBF,-2.111438083339458,-1.8514365177248473,-1.0419772029700691,-0.5405147352089629,-0.5736822900931501,-0.8044682614647245,-0.8560076445649542,0.0,-0.4225203185365168,0.18467386808151776
KNN,-1.608402144011324,-1.3577027977471603,-0.5666168199352046,-0.19102124897651993,-0.1871857584966864,-0.42871491002420015,-0.5134253954422825,0.4225203185365168,0.0,0.6393574657567813
LightGBM,-2.1041810238915963,-1.8155098521745205,-1.0524224090085248,-0.8437283652413575,-0.8919820812435302,-1.29031074318265,-1.76852850559106,-0.18467386808151776,-0.6393574657567813,0.0
