Feature_Original,Feature_Index,Feature_Sanitized,MeanAbsSHAP,Selection_Count
GLSZM_HighGrayLevelZoneEmphasis,133,GLSZM_HighGrayLevelZoneEmphasis,0.04305871892206144,2
GLCM_ClusterTendency,108,GLCM_ClusterTendency,0.03774375021374097,5
IB_MedianIntensity,37,IB_MedianIntensity,0.030877363975240157,2
IH_IntensityHistogramMedian_Intensity,61,IH_IntensityHistogramMedian_Intensity,0.03044116138298957,5
GLSZM_LargeZoneLowGreyLevelEmphasis,136,GLSZM_LargeZoneLowGreyLevelEmphasis,0.023475770322492363,2
GLSZM_SmallZoneHighGreyLevelEmphasis,135,GLSZM_SmallZoneHighGreyLevelEmphasis,0.019767962791970146,5
GLSZM_LargeZoneEmphasis,131,GLSZM_LargeZoneEmphasis,0.01736004240621043,2
Morph_SurfaceToVolumeRatio_cm,5,Morph_SurfaceToVolumeRatio_cm,0.01454704011490712,4
Morph_Sphericity,10,Morph_Sphericity,0.01395506309633731,2
Morph_Compactness2,8,Morph_Compactness2,0.013878971307410799,2
IH_IntensityHistogramSkewness_Intensity,59,IH_IntensityHistogramSkewness_Intensity,0.01261157279162818,4
Morph_Compacity,6,Morph_Compacity,0.011484901337163542,2
IB_AreaUnderCurveCIVH,53,IB_AreaUnderCurveCIVH,0.010768783557333864,2
Morph_Compactness1,7,Morph_Compactness1,0.010563592216408452,2
FEATURE_RESULTS,0,FEATURE_RESULTS,0.006515680038302368,2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,22,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.0064895181423343705,2
