Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Brier,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High
ADC_Post1_Post2_Pre,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,SVM_RBF,0.79,0.063,0.765,0.819,0.795,0.722,0.719,0.758,0.76,6.0,17,0.442,0.068,0.441,0.268,0.598,0.65,0.856,0.601,0.911,0.635,0.81,0.634,0.802,0.625,0.85,0.659,0.885,0.514,0.792,0.194,0.156,0.237
ADC_Post1_Post2_Pre,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,SVM_RBF,0.788,0.055,0.755,0.817,0.802,0.716,0.705,0.76,0.761,6.0,17,0.42,0.069,0.416,0.242,0.583,0.645,0.847,0.611,0.911,0.619,0.812,0.621,0.789,0.617,0.86,0.678,0.925,0.468,0.743,0.2,0.156,0.248
ADC_Post1_Post2_Pre,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,KNN,0.749,0.054,0.73,0.806,0.809,0.685,0.663,0.689,0.689,10.0,44,0.344,0.119,0.324,0.089,0.517,0.605,0.825,0.656,0.9,0.549,0.766,0.546,0.767,0.5,0.8,0.488,0.798,0.5,0.813,0.219,0.175,0.271
ADC_Post1_Post2_Pre,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,SVM_Linear,0.74,0.046,0.667,0.789,0.721,0.668,0.641,0.738,0.736,10.0,44,0.335,0.126,0.292,0.083,0.492,0.533,0.791,0.52,0.867,0.525,0.782,0.542,0.739,0.574,0.845,0.704,0.931,0.288,0.622,0.227,0.181,0.275
ADC_Post1_Post2_Pre,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,SVM_Linear,0.68,0.177,0.641,0.763,0.689,0.599,0.603,0.68,0.686,10.4,41,0.189,0.346,0.211,0.023,0.411,0.524,0.759,0.5,0.843,0.51,0.726,0.512,0.706,0.545,0.79,0.616,0.857,0.31,0.646,0.231,0.205,0.26
ADC_Post1_Post2_Pre,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,LogisticRegression,0.673,0.166,0.701,0.755,0.752,0.606,0.612,0.613,0.633,10.4,41,0.201,0.301,0.22,0.004,0.43,0.586,0.805,0.576,0.888,0.5,0.716,0.502,0.725,0.484,0.752,0.457,0.737,0.449,0.807,0.221,0.192,0.255
