Curve,FPR,TPR,AUC
Positive_Class,0.0,0.0,0.7650793650793651
Positive_Class,0.0,0.015873015873015872,0.7650793650793651
Positive_Class,0.0,0.07936507936507936,0.7650793650793651
Positive_Class,0.02,0.07936507936507936,0.7650793650793651
Positive_Class,0.02,0.20634920634920634,0.7650793650793651
Positive_Class,0.04,0.20634920634920634,0.7650793650793651
Positive_Class,0.04,0.25396825396825395,0.7650793650793651
Positive_Class,0.06,0.25396825396825395,0.7650793650793651
Positive_Class,0.06,0.30158730158730157,0.7650793650793651
Positive_Class,0.08,0.30158730158730157,0.7650793650793651
Positive_Class,0.08,0.36507936507936506,0.7650793650793651
Positive_Class,0.12,0.36507936507936506,0.7650793650793651
Positive_Class,0.12,0.4126984126984127,0.7650793650793651
Positive_Class,0.14,0.4126984126984127,0.7650793650793651
Positive_Class,0.14,0.42857142857142855,0.7650793650793651
Positive_Class,0.16,0.42857142857142855,0.7650793650793651
Positive_Class,0.16,0.4603174603174603,0.7650793650793651
Positive_Class,0.18,0.4603174603174603,0.7650793650793651
Positive_Class,0.18,0.47619047619047616,0.7650793650793651
Positive_Class,0.22,0.47619047619047616,0.7650793650793651
Positive_Class,0.22,0.6666666666666666,0.7650793650793651
Positive_Class,0.24,0.6666666666666666,0.7650793650793651
Positive_Class,0.24,0.6984126984126984,0.7650793650793651
Positive_Class,0.32,0.6984126984126984,0.7650793650793651
Positive_Class,0.32,0.7301587301587301,0.7650793650793651
Positive_Class,0.34,0.7301587301587301,0.7650793650793651
Positive_Class,0.34,0.7777777777777778,0.7650793650793651
Positive_Class,0.4,0.7777777777777778,0.7650793650793651
Positive_Class,0.4,0.8095238095238095,0.7650793650793651
Positive_Class,0.42,0.8095238095238095,0.7650793650793651
Positive_Class,0.42,0.8253968253968254,0.7650793650793651
Positive_Class,0.5,0.8253968253968254,0.7650793650793651
Positive_Class,0.5,0.8412698412698413,0.7650793650793651
Positive_Class,0.52,0.8412698412698413,0.7650793650793651
Positive_Class,0.52,0.873015873015873,0.7650793650793651
Positive_Class,0.56,0.873015873015873,0.7650793650793651
Positive_Class,0.56,0.9206349206349206,0.7650793650793651
Positive_Class,0.62,0.9206349206349206,0.7650793650793651
Positive_Class,0.62,0.9365079365079365,0.7650793650793651
Positive_Class,0.72,0.9365079365079365,0.7650793650793651
Positive_Class,0.72,0.9523809523809523,0.7650793650793651
Positive_Class,0.76,0.9523809523809523,0.7650793650793651
Positive_Class,0.76,0.9682539682539683,0.7650793650793651
Positive_Class,0.84,0.9682539682539683,0.7650793650793651
Positive_Class,0.84,0.9841269841269841,0.7650793650793651
Positive_Class,0.86,0.9841269841269841,0.7650793650793651
Positive_Class,0.86,1.0,0.7650793650793651
Positive_Class,1.0,1.0,0.7650793650793651
Macro_Average_OvR,0.0,0.10968253968253969,0.7650793650793651
Macro_Average_OvR,0.015873015873015872,0.11968253968253968,0.7650793650793651
Macro_Average_OvR,0.02,0.18317460317460316,0.7650793650793651
Macro_Average_OvR,0.031746031746031744,0.22317460317460316,0.7650793650793651
Macro_Average_OvR,0.04,0.24698412698412697,0.7650793650793651
Macro_Average_OvR,0.047619047619047616,0.266984126984127,0.7650793650793651
Macro_Average_OvR,0.06,0.2907936507936508,0.7650793650793651
Macro_Average_OvR,0.06349206349206349,0.34079365079365076,0.7650793650793651
Macro_Average_OvR,0.07936507936507936,0.3707936507936508,0.7650793650793651
Macro_Average_OvR,0.08,0.40253968253968253,0.7650793650793651
Macro_Average_OvR,0.12,0.42634920634920637,0.7650793650793651
Macro_Average_OvR,0.12698412698412698,0.44634920634920633,0.7650793650793651
Macro_Average_OvR,0.14,0.4542857142857143,0.7650793650793651
Macro_Average_OvR,0.15873015873015872,0.4642857142857143,0.7650793650793651
Macro_Average_OvR,0.16,0.4801587301587301,0.7650793650793651
Macro_Average_OvR,0.1746031746031746,0.5201587301587302,0.7650793650793651
Macro_Average_OvR,0.18,0.5280952380952381,0.7650793650793651
Macro_Average_OvR,0.19047619047619047,0.5380952380952381,0.7650793650793651
Macro_Average_OvR,0.22,0.6333333333333333,0.7650793650793651
Macro_Average_OvR,0.2222222222222222,0.6633333333333333,0.7650793650793651
Macro_Average_OvR,0.24,0.6792063492063491,0.7650793650793651
Macro_Average_OvR,0.2698412698412698,0.6892063492063492,0.7650793650793651
Macro_Average_OvR,0.30158730158730157,0.7292063492063492,0.7650793650793651
Macro_Average_OvR,0.32,0.745079365079365,0.7650793650793651
Macro_Average_OvR,0.3333333333333333,0.755079365079365,0.7650793650793651
Macro_Average_OvR,0.34,0.778888888888889,0.7650793650793651
Macro_Average_OvR,0.4,0.7947619047619048,0.7650793650793651
Macro_Average_OvR,0.42,0.8026984126984127,0.7650793650793651
Macro_Average_OvR,0.5,0.8106349206349206,0.7650793650793651
Macro_Average_OvR,0.52,0.8265079365079365,0.7650793650793651
Macro_Average_OvR,0.5238095238095238,0.8465079365079364,0.7650793650793651
Macro_Average_OvR,0.5396825396825397,0.8565079365079364,0.7650793650793651
Macro_Average_OvR,0.56,0.8803174603174603,0.7650793650793651
Macro_Average_OvR,0.5714285714285714,0.8903174603174603,0.7650793650793651
Macro_Average_OvR,0.5873015873015873,0.9003174603174603,0.7650793650793651
Macro_Average_OvR,0.62,0.9082539682539683,0.7650793650793651
Macro_Average_OvR,0.6349206349206349,0.9282539682539683,0.7650793650793651
Macro_Average_OvR,0.6984126984126984,0.9382539682539682,0.7650793650793651
Macro_Average_OvR,0.72,0.9461904761904761,0.7650793650793651
Macro_Average_OvR,0.746031746031746,0.9561904761904761,0.7650793650793651
Macro_Average_OvR,0.76,0.9641269841269842,0.7650793650793651
Macro_Average_OvR,0.7936507936507936,0.9741269841269842,0.7650793650793651
Macro_Average_OvR,0.84,0.9820634920634921,0.7650793650793651
Macro_Average_OvR,0.86,0.99,0.7650793650793651
Macro_Average_OvR,0.9206349206349206,1.0,0.7650793650793651
Macro_Average_OvR,1.0,1.0,0.7650793650793651
Micro_Average_OvR,0.0,0.0,0.7726133604824184
Micro_Average_OvR,0.0,0.008849557522123894,0.7726133604824184
Micro_Average_OvR,0.0,0.061946902654867256,0.7726133604824184
Micro_Average_OvR,0.008849557522123894,0.061946902654867256,0.7726133604824184
Micro_Average_OvR,0.008849557522123894,0.1504424778761062,0.7726133604824184
Micro_Average_OvR,0.017699115044247787,0.1504424778761062,0.7726133604824184
Micro_Average_OvR,0.017699115044247787,0.17699115044247787,0.7726133604824184
Micro_Average_OvR,0.02654867256637168,0.17699115044247787,0.7726133604824184
Micro_Average_OvR,0.02654867256637168,0.19469026548672566,0.7726133604824184
Micro_Average_OvR,0.035398230088495575,0.19469026548672566,0.7726133604824184
Micro_Average_OvR,0.035398230088495575,0.24778761061946902,0.7726133604824184
Micro_Average_OvR,0.04424778761061947,0.24778761061946902,0.7726133604824184
Micro_Average_OvR,0.04424778761061947,0.25663716814159293,0.7726133604824184
Micro_Average_OvR,0.05309734513274336,0.25663716814159293,0.7726133604824184
Micro_Average_OvR,0.05309734513274336,0.2920353982300885,0.7726133604824184
Micro_Average_OvR,0.07079646017699115,0.2920353982300885,0.7726133604824184
Micro_Average_OvR,0.07079646017699115,0.35398230088495575,0.7726133604824184
Micro_Average_OvR,0.07964601769911504,0.35398230088495575,0.7726133604824184
Micro_Average_OvR,0.07964601769911504,0.36283185840707965,0.7726133604824184
Micro_Average_OvR,0.08849557522123894,0.36283185840707965,0.7726133604824184
Micro_Average_OvR,0.08849557522123894,0.3893805309734513,0.7726133604824184
Micro_Average_OvR,0.09734513274336283,0.3893805309734513,0.7726133604824184
Micro_Average_OvR,0.09734513274336283,0.415929203539823,0.7726133604824184
Micro_Average_OvR,0.10619469026548672,0.415929203539823,0.7726133604824184
Micro_Average_OvR,0.10619469026548672,0.4336283185840708,0.7726133604824184
Micro_Average_OvR,0.12389380530973451,0.4336283185840708,0.7726133604824184
Micro_Average_OvR,0.12389380530973451,0.4424778761061947,0.7726133604824184
Micro_Average_OvR,0.1415929203539823,0.4424778761061947,0.7726133604824184
Micro_Average_OvR,0.1415929203539823,0.4690265486725664,0.7726133604824184
Micro_Average_OvR,0.1504424778761062,0.4690265486725664,0.7726133604824184
Micro_Average_OvR,0.1504424778761062,0.4778761061946903,0.7726133604824184
Micro_Average_OvR,0.17699115044247787,0.4778761061946903,0.7726133604824184
Micro_Average_OvR,0.17699115044247787,0.5221238938053098,0.7726133604824184
Micro_Average_OvR,0.18584070796460178,0.5221238938053098,0.7726133604824184
Micro_Average_OvR,0.18584070796460178,0.5663716814159292,0.7726133604824184
Micro_Average_OvR,0.19469026548672566,0.5663716814159292,0.7726133604824184
Micro_Average_OvR,0.19469026548672566,0.6283185840707964,0.7726133604824184
Micro_Average_OvR,0.20353982300884957,0.6283185840707964,0.7726133604824184
Micro_Average_OvR,0.20353982300884957,0.6371681415929203,0.7726133604824184
Micro_Average_OvR,0.21238938053097345,0.6371681415929203,0.7726133604824184
Micro_Average_OvR,0.21238938053097345,0.6460176991150443,0.7726133604824184
Micro_Average_OvR,0.23008849557522124,0.6460176991150443,0.7726133604824184
Micro_Average_OvR,0.23008849557522124,0.6637168141592921,0.7726133604824184
Micro_Average_OvR,0.23893805309734514,0.6637168141592921,0.7726133604824184
Micro_Average_OvR,0.23893805309734514,0.6814159292035398,0.7726133604824184
Micro_Average_OvR,0.26548672566371684,0.6814159292035398,0.7726133604824184
Micro_Average_OvR,0.26548672566371684,0.6991150442477876,0.7726133604824184
Micro_Average_OvR,0.2743362831858407,0.6991150442477876,0.7726133604824184
