Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
SVM_RBF,0.7238095238095238,0.7236914439760792,0.6250687697992061,0.8152931894533236,0.7923769751127538,0.794524842090573,0.6934636008579174,0.878923487880172,0.6194690265486725,0.5947619047619048,0.8095238095238095,0.38,0.6219512195121951,0.6129032258064516,0.7034482758620689,0.19725755823558566,0.22020931112045716,19,31,12,51,12.4,5.549774770204643
LogisticRegression,0.7209523809523809,0.7224285756845455,0.6260031347962383,0.8107794486215538,0.7566003155927585,0.7687239496416769,0.6437445813384552,0.8697643995443307,0.6460176991150443,0.6392063492063491,0.6984126984126984,0.58,0.676923076923077,0.6041666666666666,0.6875,0.2795664647752629,0.21795566674485883,29,21,19,44,12.4,5.549774770204643
ExtraTrees,0.72,0.7199678465747377,0.6229663823839234,0.8131172003693905,0.774860080329943,0.7780283960599983,0.6707241583064053,0.8642976598992017,0.6548672566371682,0.6512698412698412,0.6825396825396826,0.62,0.6935483870967742,0.6078431372549019,0.688,0.30191667986694126,0.21914416048065935,31,19,20,43,12.4,5.549774770204643
RandomForest,0.7098412698412697,0.7094691090215588,0.6076382538872513,0.80376544173746,0.7269808773606314,0.738310739804574,0.6116939839048712,0.8490421880408919,0.6637168141592921,0.653015873015873,0.746031746031746,0.56,0.6811594202898551,0.6363636363636364,0.7121212121212122,0.3098682095789135,0.2159140410943015,28,22,16,47,12.4,5.549774770204643
SVM_Linear,0.7041269841269842,0.7052400110672448,0.6081424374615785,0.798875866135928,0.7387603999613297,0.7513313746273105,0.6238134946276418,0.8546437823379894,0.6371681415929203,0.6168253968253968,0.7936507936507936,0.44,0.6410256410256411,0.6285714285714286,0.7092198581560284,0.24111384111384115,0.22390300300092272,22,28,13,50,12.4,5.549774770204643
KNN,0.6984126984126984,0.6990094722775667,0.5967451374916163,0.7913653005061674,0.7042826679544326,0.7143565932020386,0.5915084213286359,0.833425751062489,0.6371681415929203,0.6168253968253968,0.7936507936507936,0.44,0.6410256410256411,0.6285714285714286,0.7092198581560284,0.24111384111384115,0.22523605026390253,22,28,13,50,12.4,5.549774770204643
XGBoost,0.6815873015873015,0.6814933234027195,0.5797218422252622,0.7790908191776079,0.730459079707209,0.7354443660218608,0.6144642989768399,0.8372896193428229,0.6637168141592921,0.655079365079365,0.7301587301587301,0.58,0.6865671641791045,0.6304347826086957,0.7076923076923077,0.31274007682458393,0.26181760434497686,29,21,17,46,12.4,5.549774770204643
LightGBM,0.6680952380952381,0.6681478007380234,0.5633613125262714,0.7661933229813663,0.732299945934022,0.7366980414154403,0.6113286681482799,0.8384985638920165,0.6106194690265486,0.5992063492063492,0.6984126984126984,0.5,0.6376811594202898,0.5681818181818182,0.6666666666666666,0.2009000321440051,0.2789213062506896,25,25,19,44,12.4,5.549774770204643
GradientBoosting,0.653968253968254,0.6547947682850045,0.5526867327388343,0.7549579258786847,0.6850074417002804,0.698828570221404,0.5696877294126863,0.8139823748383183,0.6548672566371682,0.6347619047619047,0.8095238095238095,0.46,0.6538461538461539,0.6571428571428571,0.723404255319149,0.27813267813267817,0.2302141518336584,23,27,12,51,12.4,5.549774770204643
NaiveBayes,0.6533333333333333,0.6538376837099236,0.548659727978877,0.7527139694587511,0.6890558440057042,0.7028017202088529,0.5686448438406718,0.8218325272235723,0.5752212389380531,0.5406349206349206,0.8412698412698413,0.24,0.5824175824175825,0.5454545454545454,0.6883116883116883,0.08625336927223737,0.3743322053986528,12,38,10,53,12.4,5.549774770204643
