Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
2,98,18,6,6,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",ExtraTrees,0.6,0.6111111111111112,0.65,0.7942110177404295,1.0,0.3,0.46153846153846156,1.0,0.7192747252747252,0.27586206896551735
2,98,18,6,6,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",KNN,0.6187499999999999,0.4444444444444444,0.425,0.7260912698412698,0.5,0.6,0.5454545454545454,0.25,0.7613992673992673,-0.15384615384615397
2,98,18,6,6,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",NaiveBayes,0.5875,0.6666666666666666,0.6875,0.7601318044700397,0.8333333333333334,0.5,0.625,0.875,0.6991282051282051,0.3571428571428572
2,98,18,6,6,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",XGBoost,0.5125,0.5,0.5125,0.69483150836092,0.5714285714285714,0.4,0.47058823529411764,0.625,0.6899706959706959,0.02409638554216864
2,98,18,6,6,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LightGBM,0.575,0.5,0.5125,0.7534803921568627,0.5714285714285714,0.4,0.47058823529411764,0.625,0.6074453781512605,0.02409638554216864
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",LogisticRegression,0.7647058823529412,0.6451612903225806,0.6323529411764706,0.8058067133037775,0.65,0.7647058823529411,0.7027027027027027,0.5,0.8352857142857143,0.26980728051391867
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",SVM_RBF,0.7605042016806723,0.7096774193548387,0.6911764705882353,0.7907934768879297,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.5,0.8233809523809523,0.3947939262472885
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",SVM_Linear,0.7605042016806723,0.7096774193548387,0.6848739495798319,0.7907934768879297,0.6666666666666666,0.9411764705882353,0.7804878048780488,0.42857142857142855,0.8233809523809523,0.38681318681318677
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",RandomForest,0.7436974789915967,0.6129032258064516,0.6029411764705883,0.8190278887653644,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5,0.7340952380952381,0.2085106382978723
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",GradientBoosting,0.7542016806722689,0.6451612903225806,0.6323529411764706,0.7843276821217998,0.65,0.7647058823529411,0.7027027027027027,0.5,0.7102857142857142,0.26980728051391867
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",ExtraTrees,0.7394957983193278,0.6774193548387096,0.6680672268907563,0.8013736990430215,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5714285714285714,0.8055238095238095,0.34042553191489355
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",KNN,0.7331932773109243,0.6451612903225806,0.6260504201680672,0.8035841463138919,0.6363636363636364,0.8235294117647058,0.717948717948718,0.42857142857142855,0.7608809523809523,0.2603036876355749
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",NaiveBayes,0.73109243697479,0.7096774193548387,0.7163865546218487,0.7877742211652247,0.7857142857142857,0.6470588235294118,0.7096774193548387,0.7857142857142857,0.7459999999999999,0.42474226804123705
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",XGBoost,0.6386554621848739,0.5483870967741935,0.5315126050420168,0.7260277287385023,0.5714285714285714,0.7058823529411765,0.631578947368421,0.35714285714285715,0.6864761904761905,0.06465517241379315
3,85,31,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P27', 'P41', 'P43', 'P46', 'P50', 'P6', 'P9']",LightGBM,0.6890756302521008,0.6451612903225806,0.6323529411764706,0.7771840678080213,0.65,0.7647058823529411,0.7027027027027027,0.5,0.6448095238095237,0.26980728051391867
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",LogisticRegression,0.8088235294117646,0.6551724137931034,0.6691176470588236,0.8439251318940811,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.75,0.846,0.32242990654205606
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",SVM_RBF,0.8186274509803921,0.7241379310344828,0.7401960784313726,0.8639513904652313,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.8333333333333334,0.38488888888888884,0.4579439252336448
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",SVM_Linear,0.7892156862745098,0.7241379310344828,0.7156862745098038,0.8314422233539881,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.6666666666666666,0.846,0.43137254901960786
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",RandomForest,0.7475490196078431,0.6896551724137931,0.7107843137254902,0.7769485144485144,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.8333333333333334,0.6418333333333334,0.39722863741339487
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",GradientBoosting,0.732843137254902,0.7586206896551724,0.7573529411764706,0.7538929697508496,0.8125,0.7647058823529411,0.7878787878787878,0.75,0.7216944444444444,0.5084745762711864
4,87,29,4,4,auto,auto,mrmr_then_elasticnet_no_corr,"['P11', 'P12', 'P17', 'P19', 'P21', 'P29', 'P34', 'P37', 'P39']",ExtraTrees,0.7990196078431372,0.5862068965517241,0.6225490196078431,0.8430440298519883,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8333333333333334,0.8085,0.2232142857142857
