,SVM_RBF,SVM_Linear,LogisticRegression,KNN,NaiveBayes,LightGBM,RandomForest,GradientBoosting,XGBoost,ExtraTrees
SVM_RBF,0.0,-0.26447755258718886,-0.9860249550044233,1.1644454325351716,1.46202989708601,0.10433632920801948,0.6482681159639981,0.4920600309996737,0.5091872443219243,1.5393041385409207
SVM_Linear,0.26447755258718886,0.0,-0.9453924800243222,1.2713667994742117,1.5916819281008905,0.19595216626446924,0.8191566596482461,0.6247470534437417,0.592161791510326,1.5573063186006466
LogisticRegression,0.9860249550044233,0.9453924800243222,0.0,1.6351948591703964,2.0202589914369167,0.4886368453946252,1.303141966363131,1.0831591132088427,0.9343238993790371,1.9114799578533792
KNN,-1.1644454325351716,-1.2713667994742117,-1.6351948591703964,0.0,0.5109324350506144,-0.8124907670826463,-0.5658029080736474,-0.6602474258330133,-0.49604426733666945,0.07642222568069525
NaiveBayes,-1.46202989708601,-1.5916819281008905,-2.0202589914369167,-0.5109324350506144,0.0,-1.0467816343285619,-0.8840764592961954,-0.9884367217850802,-0.8673838436837994,-0.4799233018372352
LightGBM,-0.10433632920801948,-0.19595216626446924,-0.4886368453946252,0.8124907670826463,1.0467816343285619,0.0,0.48242359814453967,0.3029430487365772,0.5942920698820439,0.8949639203298103
RandomForest,-0.6482681159639981,-0.8191566596482461,-1.303141966363131,0.5658029080736474,0.8840764592961954,-0.48242359814453967,0.0,-0.25815888657513114,-0.053042404674996615,0.6591454087021463
GradientBoosting,-0.4920600309996737,-0.6247470534437417,-1.0831591132088427,0.6602474258330133,0.9884367217850802,-0.3029430487365772,0.25815888657513114,0.0,0.17315146985584914,0.773370530082758
XGBoost,-0.5091872443219243,-0.592161791510326,-0.9343238993790371,0.49604426733666945,0.8673838436837994,-0.5942920698820439,0.053042404674996615,-0.17315146985584914,0.0,0.5662066075868734
ExtraTrees,-1.5393041385409207,-1.5573063186006466,-1.9114799578533792,-0.07642222568069525,0.4799233018372352,-0.8949639203298103,-0.6591454087021463,-0.773370530082758,-0.5662066075868734,0.0
