,SVM_RBF,SVM_Linear,LogisticRegression,KNN,NaiveBayes,LightGBM,RandomForest,GradientBoosting,XGBoost,ExtraTrees
SVM_RBF,1.0,0.7914119596267148,0.3241208671839779,0.2442435449079282,0.14373301731738639,0.9169024486916375,0.516811552310745,0.6226769064418071,0.6106209831856493,0.12373006408842209
SVM_Linear,0.7914119596267148,1.0,0.34445853995238906,0.20359818814771125,0.11145619095627865,0.8446476058783542,0.41269703871260277,0.5321370855928473,0.5537422524182808,0.11939777595862942
LogisticRegression,0.3241208671839779,0.34445853995238906,1.0,0.10200820550081818,0.043356530117108695,0.6250988226830807,0.19252629850789926,0.278737804414286,0.3501368398015293,0.055942929994736317
KNN,0.2442435449079282,0.20359818814771125,0.10200820550081818,1.0,0.6093983683375535,0.4165100823512812,0.5715277693778686,0.509095062320192,0.6198631791470228,0.9390831877743471
NaiveBayes,0.14373301731738639,0.11145619095627865,0.043356530117108695,0.6093983683375535,1.0,0.29520030273525855,0.376654939966412,0.3229388105163544,0.38573173113518533,0.6312819314197833
LightGBM,0.9169024486916375,0.8446476058783542,0.6250988226830807,0.4165100823512812,0.29520030273525855,1.0,0.6295050607783699,0.7619332637334392,0.5523167816950151,0.37080637518032744
RandomForest,0.516811552310745,0.41269703871260277,0.19252629850789926,0.5715277693778686,0.376654939966412,0.6295050607783699,1.0,0.796284286416746,0.9576981212041089,0.5098023987952489
GradientBoosting,0.6226769064418071,0.5321370855928473,0.278737804414286,0.509095062320192,0.3229388105163544,0.7619332637334392,0.796284286416746,1.0,0.8625323688003714,0.4393031256139952
XGBoost,0.6106209831856493,0.5537422524182808,0.3501368398015293,0.6198631791470228,0.38573173113518533,0.5523167816950151,0.9576981212041089,0.8625323688003714,1.0,0.5712533386773709
ExtraTrees,0.12373006408842209,0.11939777595862942,0.055942929994736317,0.9390831877743471,0.6312819314197833,0.37080637518032744,0.5098023987952489,0.4393031256139952,0.5712533386773709,1.0
