Model,Baseline_ROC_AUC,SMOTE_ROC_AUC,Delta_ROC_AUC_SMOTE_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_Mean,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,SMOTE_PR_AUC,Delta_PR_AUC_SMOTE_minus_Baseline,Paired_Bootstrap_Delta_PR_AUC_Mean,Paired_Bootstrap_Delta_PR_AUC_CI95_Low,Paired_Bootstrap_Delta_PR_AUC_CI95_High,Baseline_Balanced_Accuracy,SMOTE_Balanced_Accuracy,Delta_Balanced_Accuracy,Baseline_Sensitivity,SMOTE_Sensitivity,Delta_Sensitivity,Baseline_Specificity,SMOTE_Specificity,Delta_Specificity,Baseline_PPV,SMOTE_PPV,Delta_PPV,Baseline_NPV,SMOTE_NPV,Delta_NPV,Baseline_Kappa,SMOTE_Kappa,Delta_Kappa,Baseline_Brier,SMOTE_Brier,Delta_Brier_SMOTE_minus_Baseline,Baseline_Mean_Selected_Features,SMOTE_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
ExtraTrees,0.5775147928994083,0.5775147928994083,0.0,0.0,0.0,0.0,0.6381416105172156,0.6381416105172156,0.0,0.0,0.0,0.0,0.5153846153846153,0.5153846153846153,0.0,0.5692307692307692,0.5692307692307692,0.0,0.46153846153846156,0.46153846153846156,0.0,0.5692307692307692,0.5692307692307692,0.0,0.46153846153846156,0.46153846153846156,0.0,0.03076923076923077,0.03076923076923077,0.0,0.2519284442733957,0.2519284442733957,0.0,16.0,16.0,0.0,1.0,True,1.0
GradientBoosting,0.5318047337278107,0.5318047337278107,0.0,0.0,0.0,0.0,0.6168143875181504,0.6168143875181504,0.0,0.0,0.0,0.0,0.5480769230769231,0.5480769230769231,0.0,0.6153846153846154,0.6153846153846154,0.0,0.4807692307692308,0.4807692307692308,0.0,0.5970149253731343,0.5970149253731343,0.0,0.5,0.5,0.0,0.09652509652509655,0.09652509652509655,0.0,0.2744415700497192,0.2744415700497192,0.0,16.0,16.0,0.0,1.0,True,1.0
KNN,0.5329881656804734,0.5329881656804734,0.0,0.0,0.0,0.0,0.5845366928917421,0.5845366928917421,0.0,0.0,0.0,0.0,0.5230769230769231,0.5230769230769231,0.0,0.6615384615384615,0.6615384615384615,0.0,0.38461538461538464,0.38461538461538464,0.0,0.5733333333333334,0.5733333333333334,0.0,0.47619047619047616,0.47619047619047616,0.0,0.04705882352941182,0.04705882352941182,0.0,0.27884357364923384,0.27884357364923384,0.0,16.0,16.0,0.0,1.0,True,1.0
LightGBM,0.5596153846153847,0.5596153846153847,0.0,0.0,0.0,0.0,0.6690524633361712,0.6690524633361712,0.0,0.0,0.0,0.0,0.5076923076923077,0.5076923076923077,0.0,0.47692307692307695,0.47692307692307695,0.0,0.5384615384615384,0.5384615384615384,0.0,0.5636363636363636,0.5636363636363636,0.0,0.45161290322580644,0.45161290322580644,0.0,0.015094339622641506,0.015094339622641506,0.0,0.2699316213161555,0.2699316213161555,0.0,16.0,16.0,0.0,1.0,True,1.0
LogisticRegression,0.5390532544378699,0.5390532544378699,0.0,0.0,0.0,0.0,0.6010500094060838,0.6010500094060838,0.0,0.0,0.0,0.0,0.5346153846153846,0.5346153846153846,0.0,0.4153846153846154,0.4153846153846154,0.0,0.6538461538461539,0.6538461538461539,0.0,0.6,0.6,0.0,0.4722222222222222,0.4722222222222222,0.0,0.06666666666666665,0.06666666666666665,0.0,0.2528935971593573,0.2528935971593573,0.0,16.0,16.0,0.0,1.0,True,1.0
NaiveBayes,0.5902366863905325,0.5902366863905325,0.0,0.0,0.0,0.0,0.6651341896472192,0.6651341896472192,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.7538461538461538,0.7538461538461538,0.0,0.34615384615384615,0.34615384615384615,0.0,0.5903614457831325,0.5903614457831325,0.0,0.5294117647058824,0.5294117647058824,0.0,0.10358565737051784,0.10358565737051784,0.0,0.38958356728993215,0.38958356728993215,0.0,16.0,16.0,0.0,1.0,True,1.0
RandomForest,0.5526627218934912,0.5526627218934912,0.0,0.0,0.0,0.0,0.6165389959540448,0.6165389959540448,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5384615384615384,0.5384615384615384,0.0,0.625,0.625,0.0,0.5283018867924528,0.5283018867924528,0.0,0.15355086372360838,0.15355086372360838,0.0,0.26018820655964076,0.26018820655964076,0.0,16.0,16.0,0.0,1.0,True,1.0
SVM_Linear,0.48801775147928994,0.48801775147928994,0.0,0.0,0.0,0.0,0.5785619352724249,0.5785619352724249,0.0,0.0,0.0,0.0,0.47500000000000003,0.47500000000000003,0.0,0.7384615384615385,0.7384615384615385,0.0,0.21153846153846154,0.21153846153846154,0.0,0.5393258426966292,0.5393258426966292,0.0,0.39285714285714285,0.39285714285714285,0.0,-0.05241935483870952,-0.05241935483870952,0.0,0.25844872306024413,0.25844872306024413,0.0,16.0,16.0,0.0,1.0,True,1.0
SVM_RBF,0.47751479289940824,0.47751479289940824,0.0,0.0,0.0,0.0,0.551538550022894,0.551538550022894,0.0,0.0,0.0,0.0,0.49423076923076925,0.49423076923076925,0.0,0.7384615384615385,0.7384615384615385,0.0,0.25,0.25,0.0,0.5517241379310345,0.5517241379310345,0.0,0.43333333333333335,0.43333333333333335,0.0,-0.012048192771084487,-0.012048192771084487,0.0,0.26707977458523474,0.26707977458523474,0.0,16.0,16.0,0.0,1.0,True,1.0
XGBoost,0.598224852071006,0.598224852071006,0.0,0.0,0.0,0.0,0.6698497100959377,0.6698497100959377,0.0,0.0,0.0,0.0,0.5538461538461539,0.5538461538461539,0.0,0.5692307692307692,0.5692307692307692,0.0,0.5384615384615384,0.5384615384615384,0.0,0.6065573770491803,0.6065573770491803,0.0,0.5,0.5,0.0,0.10687022900763354,0.10687022900763354,0.0,0.302066601268872,0.302066601268872,0.0,16.0,16.0,0.0,1.0,True,1.0
