Metric,Baseline,SMOTE
Sensitivity,0.5692307692307692,0.5692307692307692
Specificity,0.46153846153846156,0.46153846153846156
PPV,0.5692307692307692,0.5692307692307692
NPV,0.46153846153846156,0.46153846153846156
Kappa,0.03076923076923077,0.03076923076923077
