fold,C,l1_ratio
1,0.17262806059009234,0.33034280286318796
2,0.05093210962130119,0.18819983332609463
3,0.6242408262523436,0.5123500069997124
4,0.1764950771205521,0.1719410127325942
5,0.8572380131806149,0.5387920763162022
6,0.9792573218883194,0.5070565238880336
7,0.8535469450503604,0.4605465141149503
8,0.1764950771205521,0.1719410127325942
9,0.10462965139895582,0.3664584127612252
10,0.9792573218883194,0.5070565238880336
11,0.9792573218883194,0.5070565238880336
12,0.1764950771205521,0.1719410127325942
13,0.12566772874745027,0.36226487599015755
14,0.17262806059009234,0.04194132731567152
15,0.08044122238349195,0.5123500069997124
