,NaiveBayes,SVM_RBF,SVM_Linear,LogisticRegression,LightGBM,RandomForest,XGBoost,GradientBoosting,ExtraTrees,KNN
NaiveBayes,1.0,0.8602827767806392,0.5962631633313664,0.8236951343873503,0.17154037635750163,0.1058330525035401,0.27506800287292876,0.06876981718649293,0.1333722410432262,0.05111800767540774
SVM_RBF,0.8602827767806392,1.0,0.41770182039967796,0.44532293725159444,0.16101413746783289,0.04857511000811478,0.25470643381102887,0.034801364613247995,0.08137819071079941,0.015091855968879091
SVM_Linear,0.5962631633313664,0.41770182039967796,1.0,0.016617455495240744,0.24475032824856147,0.10741147448987826,0.3857217698942196,0.06335802453821734,0.18153491527497911,0.04487646104985004
LogisticRegression,0.8236951343873503,0.44532293725159444,0.016617455495240744,1.0,0.08527566853796989,0.01363914825689327,0.14402746603493685,0.007577499085900094,0.034423191822298534,0.006951646100233871
LightGBM,0.17154037635750163,0.16101413746783289,0.24475032824856147,0.08527566853796989,1.0,0.9658091887668572,0.6406886783238168,0.8559584335323791,0.9302469282939061,0.891263277778654
RandomForest,0.1058330525035401,0.04857511000811478,0.10741147448987826,0.01363914825689327,0.9658091887668572,1.0,0.5893130931006013,0.8309397364755781,0.8752354351837193,0.8865987090006304
XGBoost,0.27506800287292876,0.25470643381102887,0.3857217698942196,0.14402746603493685,0.6406886783238168,0.5893130931006013,1.0,0.5015040182410037,0.7929034621736647,0.6334608289422161
GradientBoosting,0.06876981718649293,0.034801364613247995,0.06335802453821734,0.007577499085900094,0.8559584335323791,0.8309397364755781,0.5015040182410037,1.0,0.7723613852000482,0.9864420945000488
ExtraTrees,0.1333722410432262,0.08137819071079941,0.18153491527497911,0.034423191822298534,0.9302469282939061,0.8752354351837193,0.7929034621736647,0.7723613852000482,1.0,0.7704664600635328
KNN,0.05111800767540774,0.015091855968879091,0.04487646104985004,0.006951646100233871,0.891263277778654,0.8865987090006304,0.6334608289422161,0.9864420945000488,0.7704664600635328,1.0
