,KNN,XGBoost,ExtraTrees,SVM_Linear,SVM_RBF,LogisticRegression,RandomForest,LightGBM,GradientBoosting,NaiveBayes
KNN,0.0,1.7190150959993167,2.325314774816501,1.5109223881982345,1.3156235197752753,1.559649459190339,2.524946656750979,2.802616387661481,2.3857437338696292,1.8404749992166038
XGBoost,-1.7190150959993167,0.0,0.4182859783503989,-0.21423039174221414,-0.4296675667930464,-0.21388569712837185,0.696884933556256,1.4910967359278062,0.9885414229728321,0.46723157116349306
ExtraTrees,-2.325314774816501,-0.4182859783503989,0.0,-0.8117006711234086,-1.1160779525881566,-0.8349233871289978,0.3677036939695566,1.0295507965328634,0.7608230271834099,0.23627533726314293
SVM_Linear,-1.5109223881982345,0.21423039174221414,0.8117006711234086,0.0,-0.43901138500598286,0.02333813195677502,1.035002826692255,1.5177588977545924,1.4033923173792373,0.8526785886556895
SVM_RBF,-1.3156235197752753,0.4296675667930464,1.1160779525881566,0.43901138500598286,0.0,0.4083108281928481,1.3012084904151473,1.6557244592666591,1.543521453262136,0.9694460050963969
LogisticRegression,-1.559649459190339,0.21388569712837185,0.8349233871289978,-0.02333813195677502,-0.4083108281928481,0.0,1.037685216255076,1.4967318255231852,1.3836224367171017,0.8262965321065701
RandomForest,-2.524946656750979,-0.696884933556256,-0.3677036939695566,-1.035002826692255,-1.3012084904151473,-1.037685216255076,0.0,0.8118791671674368,0.5795933243676207,-0.02745558047535106
LightGBM,-2.802616387661481,-1.4910967359278062,-1.0295507965328634,-1.5177588977545924,-1.6557244592666591,-1.4967318255231852,-0.8118791671674368,0.0,-0.16447916424592685,-0.5774354309599598
GradientBoosting,-2.3857437338696292,-0.9885414229728321,-0.7608230271834099,-1.4033923173792373,-1.543521453262136,-1.3836224367171017,-0.5795933243676207,0.16447916424592685,0.0,-0.41661592181814217
NaiveBayes,-1.8404749992166038,-0.46723157116349306,-0.23627533726314293,-0.8526785886556895,-0.9694460050963969,-0.8262965321065701,0.02745558047535106,0.5774354309599598,0.41661592181814217,0.0
